,target
6045,26113
259,28597
443,28499
8398,18064
5076,28056
9303,20402
532,29894
6497,22992
11499,16331
12388,17461
8827,21928
13247,24224
11648,19446
12560,23187
430,28932
13198,23740
8925,20857
2328,27754
7492,21309
12456,17660
577,29950
12719,20189
8639,20032
7665,20663
4871,28787
6323,24088
8511,19164
1698,26665
761,27327
3827,24555
796,26645
7637,20824
10764,16632
8206,16837
5805,26135
7747,19926
11422,16853
11224,16368
2546,21745
1941,26420
7726,20149
9621,19370
6162,25312
11089,15927
3060,23702
9990,19350
6496,22836
9695,18764
9932,19556
12462,18044
12157,17380
591,29771
7920,19800
3305,24633
2856,24180
1041,28609
6634,23926
4879,28762
2517,22090
2221,27081
7443,21206
8979,20078
3680,23651
12359,17802
6847,20926
10286,17443
10017,18383
3485,25073
960,28874
3107,24471
13621,23745
11305,16756
6851,20861
883,28108
12736,19771
10688,16735
10084,18010
3938,25698
11519,17135
12318,17778
11822,18427
4442,28556
11321,16571
6608,24206
4412,30030
3608,24230
12728,20062
10923,16240
2450,26459
13116,23148
9880,19501
10472,17201
2995,24200
11850,17992
7779,20000
1160,26100
4663,28672
8361,16999
10976,14965
11335,16759
2154,28752
11134,16213
3919,24840
4123,26840
10815,16379
2742,23897
8192,16515
8928,21311
12176,16967
10768,16826
4688,29272
7757,20201
10830,17163
8606,19124
1147,27608
6639,23546
10628,17862
7598,20898
6537,24468
11715,18737
7316,20183
1886,27000
623,29637
1339,25441
13530,22840
12606,19206
12975,20322
3851,24863
11497,16358
7188,20766
1501,26003
11619,18932
7127,20110
7247,19803
3021,25004
3546,25096
10108,18615
10608,17733
4706,28914
8388,18155
5967,24944
6556,24369
11250,16307
12023,17531
12779,19876
12435,17382
8083,17787
3980,26227
7649,20913
3576,24565
9857,18935
6729,24724
11560,17642
5814,25812
12222,17083
10576,17770
5035,28462
5070,27826
1472,26260
4862,28788
5792,25839
9040,20626
12756,19815
7017,22124
7738,19913
7277,20081
3011,24970
3369,24936
3877,24722
2210,27824
3082,24359
578,29937
1511,25986
6248,24738
12268,17395
13641,23549
3578,24603
414,29285
12367,17639
6577,24051
11215,16586
5023,28412
426,28901
621,29478
2094,28242
11014,16076
2380,26770
12368,17639
2340,27879
265,28507
9517,18997
7053,21930
10655,17453
8366,17542
5999,25402
8957,20546
5282,28360
3857,24858
4742,28938
12387,17511
2088,28295
13197,23878
2142,29030
4342,28208
9939,19468
12455,17650
1082,28403
1671,26721
8975,20350
4438,28683
11831,18446
10763,16698
13200,23758
9390,19898
1971,26637
2608,23256
4029,26486
4149,26546
11564,18111
12580,21039
694,28047
5465,27269
11631,19105
6436,23239
8836,22054
4395,29915
9947,19698
9238,20321
8525,18912
6480,23341
5100,28226
2882,23812
7585,21677
5025,28670
5028,28542
8687,21217
8542,19915
6611,24331
10421,17060
11220,16541
11399,16848
3819,24416
1463,26496
8231,16230
376,28941
7942,19269
10405,17416
2216,27218
7344,21063
11920,18202
9720,18939
4201,26562
7632,20642
3316,24668
12492,19763
8351,16066
9564,18887
6058,25636
8108,17210
2392,26694
4477,29160
2484,25290
9664,19926
7727,20032
7541,21798
2046,27850
10538,17551
1254,26346
952,28932
3131,24387
10762,16688
10390,17797
8067,17799
2932,23398
7372,21190
9292,20749
1718,27167
10384,17837
12926,20196
9293,20627
4454,28204
8040,18669
9844,18977
10134,18707
12932,20023
5008,28186
3954,26537
6867,20845
2564,21843
7741,19761
12068,17741
3852,24860
1536,26143
1056,28471
1146,27503
5199,28614
1937,26240
5809,25659
1031,28564
10506,18001
8074,17871
3411,24867
11012,16013
4015,26620
5382,27969
6888,19641
2543,21841
96,27030
2474,24753
2684,24522
2522,22956
8530,19075
9964,19395
2239,26142
4292,27761
7356,21099
3027,24915
4617,29385
1042,28622
2389,26783
5169,29289
9149,19749
1592,26471
2391,26633
13451,21520
5144,29185
6572,24017
7572,21708
13279,23780
3146,24209
7216,19364
9478,19587
13485,21903
2901,24340
3,25063
12713,20215
11750,18449
10514,17720
11188,16855
4295,27692
9608,19436
3755,24045
3474,24725
9723,18801
11301,16752
439,28602
8794,22517
4250,26421
13386,19907
9071,19565
7862,19588
10194,18066
9620,19381
6245,24585
88,27008
11441,17089
