,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus
0,2019-01-02 09:00:00+08:00,25856,25868,25011,25165,4681046,HSI,^HSI,5266606970855120240,2025-06-04 01:04:53.595743+08:00,己巳,己亥,甲辰,甲戌,己卯,癸丑,戊申,甲戌,己巳,己子,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
1,2019-01-02 11:00:00+08:00,25165,25202,25079,25140,3893896,HSI,^HSI,9692735251611502160,2025-06-04 01:04:53.595743+08:00,庚午,甲寅,己未,乙亥,己卯,癸丑,戊申,甲戌,庚午,己丑,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
2,2019-01-02 13:00:00+08:00,25141,25223,25067,25089,4513035,HSI,^HSI,4692977225084344345,2025-06-04 01:04:53.595743+08:00,辛未,甲寅,己未,丙子,己卯,癸丑,戊申,甲戌,辛未,甲丑,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
3,2019-01-02 15:00:00+08:00,25089,25113,24975,24975,5275184,HSI,^HSI,5203413270193348847,2025-06-04 01:04:53.595743+08:00,壬申,甲寅,己未,丁丑,己卯,癸丑,戊申,甲戌,壬申,甲寅,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
4,2019-01-02 17:00:00+08:00,25030,25090,25027,25063,7264770,HSI,^HSI,11889260809953429274,2025-06-04 01:04:53.595743+08:00,癸酉,甲寅,己未,戊寅,己卯,癸丑,戊申,甲戌,癸酉,甲寅,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
5,2019-01-02 19:00:00+08:00,25064,25147,25055,25106,1621556,HSI,^HSI,8684872988533334124,2025-06-04 01:04:53.595743+08:00,甲戌,甲寅,己未,己卯,己卯,癸丑,戊申,甲戌,甲戌,甲卯,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
6,2019-01-02 21:00:00+08:00,25104,25198,25076,25168,4087352,HSI,^HSI,5403624036479931862,2025-06-04 01:04:53.595743+08:00,乙亥,甲寅,己未,庚辰,己卯,癸丑,戊申,甲戌,乙亥,甲卯,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
7,2019-01-02 23:00:00+08:00,25168,25363,25141,25308,7491575,HSI,^HSI,16812490679607968981,2025-06-04 01:04:53.595743+08:00,戊子,庚子,乙巳,癸巳,己卯,癸丑,戊申,甲戌,戊子,乙亥,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
8,2019-01-03 09:00:00+08:00,25056,25238,24978,25042,2206280,HSI,^HSI,6702119886604121290,2025-06-04 01:04:53.595743+08:00,辛巳,庚子,乙巳,丙戌,己卯,癸丑,戊申,甲戌,辛巳,庚丑,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
9,2019-01-03 11:00:00+08:00,25042,25048,24907,25023,3226593,HSI,^HSI,17931148108116461158,2025-06-04 01:04:53.595743+08:00,壬午,乙卯,庚申,丁亥,己卯,癸丑,戊申,甲戌,壬午,庚寅,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
