,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
cs_base_hour_current_hour,1,0.000849273,-0.123129,0.00118551,-0.00144004,0.00449597,-0.58589,0.00026533,0.0104462,-0.00405667,0.0124163,-0.00304868,0.613725,-0.000645336,-0.0156909,0.00229761,0.00333162,0.00166384,0.369005,-0.00292981,0.0519815,-0.00133796,0.0047727,0.00297541,-0.909761,0.000333599,0.193448,0.00283963,-0.00563687,-0.00700194,-0.413936,0.00201574,-0.111526,-0.00451505,0.00469422,-0.000458121,-0.014392
cs_base_hour_current_day,0.000849273,1,-0.00132777,0.00304517,-0.00910039,0.00814276,0.000289883,-0.692028,0.000811909,0.000568454,0.0154318,-0.0117967,0.00201788,0.663725,-0.00407991,0.000273848,-0.0113115,-0.0094355,-0.00041065,0.321952,0.0012548,0.00843835,-0.0147379,-0.000930824,0.000184665,-0.873489,-0.00144047,-0.00735428,0.00796277,-0.00722596,-0.00127238,-0.49026,0.00375791,-0.000335135,0.0170635,0.00485661,-0.00150596
cs_base_hour_current_hour_minus,-0.123129,-0.00132777,1,0.000983909,-0.0283409,0.000828479,0.171805,0.000554716,-0.741541,-0.00293618,0.0176757,-0.00394097,0.118588,-0.00191157,0.728239,-0.000206938,-0.0170142,0.000556183,0.359267,-0.000381346,0.279713,-0.000331855,-0.0492562,0.00311806,-0.0359898,0.00143616,-0.888195,-0.000605711,0.0611597,-0.00143954,-0.164317,0.000960318,-0.568598,-0.000522142,0.006966,-0.00211071,0.00998602
cs_base_hour_current_month,0.00118551,0.00304517,0.000983909,1,0.0366224,-0.0249179,0.000351332,-0.0109847,-0.00195871,-0.678817,-0.0187618,0.0192829,0.00108233,-0.000875394,-0.00161938,0.646993,0.0243552,0.105669,0.000228882,-0.000594165,-0.00297288,0.288517,0.00693865,0.213923,-0.000781827,0.00133306,0.000594424,-0.874714,-0.0377171,-0.0319509,-0.000209647,-0.00313611,0.000956409,-0.456859,-0.00414078,-0.162759,0.0126979
cs_base_hour_current_year,-0.00144004,-0.00910039,-0.0283409,0.0366224,1,0.00809929,0.00132172,0.00472299,0.0281556,0.00141232,-0.774252,-0.000759398,-0.00126805,-0.00631053,-0.0363865,0.000334721,0.666738,0.00851525,-0.00035668,0.00555386,-0.0701602,0.0348053,0.19842,0.00387306,0.000848686,0.00195901,0.0698495,-0.0640315,-0.883292,-0.00337025,0.000850043,0.00317037,0.0328023,0.0179574,-0.478935,-0.0177154,0.215386
cs_base_hour_current_month_minus,0.00449597,0.00814276,0.000828479,-0.0249179,0.00809929,1,-0.00227037,0.0119312,-0.00189312,-0.0193912,-0.0301139,-0.698959,0.00376803,0.00551038,0.000679486,0.0960419,0.0103587,0.679872,0.002648,-0.00581028,0.000464461,0.2453,0.0106404,0.334563,-0.00380225,-0.0107863,0.000243228,-0.0461956,-0.00350374,-0.873712,-0.00223713,0.00999456,-0.00148976,-0.172293,-0.0146691,-0.514794,0.0419473
cs_base_day_current_hour,-0.58589,0.000289883,0.171805,0.000351332,0.00132172,-0.00227037,1,-0.000360101,0.0477753,0.00357277,-0.0104168,0.00083567,-0.37639,0.000962133,-0.0513108,-0.00107911,-0.00250429,-0.000533375,-0.566668,0.000575957,-0.0507198,0.000483213,-0.00484852,-0.00207033,0.589887,-5.19962e-05,-0.238638,-0.0035016,0.00497712,0.004778,0.551473,-0.000558353,0.106884,0.0038862,-0.00409423,-0.000764521,0.0128872
cs_base_day_current_day,0.00026533,-0.692028,0.000554716,-0.0109847,0.00472299,0.0119312,-0.000360101,1,-0.000628106,0.0103418,-0.0101457,-0.00567485,0.000278267,-0.488612,0.00194631,-0.0118606,0.00623778,0.00954696,0.0010596,-0.489302,-0.000764365,-0.0127251,0.00731404,-0.0078115,-0.000627055,0.58046,0.00141231,0.00984924,-0.00256832,-0.00427544,-0.000296752,0.665582,-0.00215701,0.0125541,-0.0102345,-0.00412031,0.00531609
cs_base_day_current_hour_minus,0.0104462,0.000811909,-0.741541,-0.00195871,0.0281556,-0.00189312,0.0477753,-0.000628106,1,0.00475185,-0.0230175,0.00386509,-0.263183,0.00144362,-0.540842,-0.00180499,0.0138528,8.21232e-05,-0.472531,0.00126195,-0.454606,0.000851479,0.0447883,-0.00340191,0.0490154,-0.00162516,0.656385,-0.000642207,-0.0567491,0.00371473,0.258006,-0.000936073,0.697778,0.00344987,-0.00792132,0.00117493,-0.00170268
cs_base_day_current_month,-0.00405667,0.000568454,-0.00293618,-0.678817,0.00141232,-0.0193912,0.00357277,0.0103418,0.00475185,1,0.00388622,-0.0102119,-0.00276031,0.00134067,-0.00269787,-0.484167,0.0265457,-0.166769,-0.00213545,0.000350975,-0.00564015,-0.49546,-0.0240982,-0.17139,0.003504,-0.00547533,0.00539199,0.578906,0.0298109,0.0849079,0.00235974,0.0058357,0.0035385,0.653144,-0.0242139,0.0940897,0.01018
cs_base_day_current_year,0.0124163,0.0154318,0.0176757,-0.0187618,-0.774252,-0.0301139,-0.0104168,-0.0101457,-0.0230175,0.00388622,1,-0.0240101,0.0103805,0.0144035,0.0302942,-0.0148023,-0.603084,-0.0194738,0.00370004,0.00176051,0.0666569,-0.0556542,-0.436403,0.0191232,-0.00778129,-0.0082191,-0.0531186,0.0370775,0.645172,0.0235572,-0.00737761,-0.0093583,-0.030935,0.00959521,0.728302,-0.00563309,-0.109789
