,target
12018,17424
3355,24940
960,28927
2996,24238
7297,21175
3474,25684
6676,22556
883,28108
12769,21777
7729,19426
9970,18133
3798,24909
6912,21690
2766,23834
8460,19261
11828,17692
4392,29143
2760,23720
9758,19545
13448,23796
4123,26526
9933,18719
2450,25297
13451,23941
5504,26558
12848,23148
9926,18851
12434,20868
6545,24408
1160,25450
8794,20555
8270,17561
10842,15548
5719,25273
2154,28674
3669,23426
8642,22267
10683,16154
2742,24495
11412,19446
7093,19238
12029,17750
10089,17898
11162,16781
13453,23822
12430,19800
4097,26341
1147,26818
6505,23692
10282,17441
7436,21726
6023,24704
11579,18345
9607,18761
1886,26393
6264,23478
1339,25457
13369,23326
7551,20649
10944,16740
12355,19295
4093,26455
4217,27761
1501,26047
11481,18697
5035,28933
9355,18042
3268,24727
4412,29273
9993,18135
13109,20060
7681,19923
7316,20911
5846,24669
5174,28524
11114,16515
6597,24715
4459,30863
5453,26097
9871,17973
8106,15647
8885,19933
9745,19602
7061,20009
9320,19337
8657,22053
8265,17533
12283,22438
4118,26462
12164,17087
1472,26092
10930,16667
5674,26336
5259,28273
2818,23923
7508,20798
10442,17408
3468,25367
6647,23170
10894,16221
2210,25997
7132,19998
578,29937
1511,26045
6118,24553
12119,17671
12417,19622
13122,20805
414,29285
10450,17067
6270,23323
13030,23578
13375,23280
426,28901
621,29478
2094,28584
8402,19725
2380,26000
4328,29376
2340,27318
265,28507
3706,24100
10529,16317
5756,24175
7104,19985
3375,25128
6041,24900
12157,17177
8117,14844
9431,19358
2088,28502
13040,23462
2142,29065
4296,28934
9826,18064
6113,24564
1082,28459
1671,26726
5376,27698
7969,18075
11817,17723
10880,15976
11067,16689
12981,24614
1971,27580
2608,23529
4192,27286
7779,19379
5635,25917
694,28047
5353,27345
12803,22715
8563,21592
2993,24547
4315,30098
9834,18216
5514,26246
10972,16682
3015,23976
5418,26122
8022,16475
8294,17227
13027,23344
7001,19986
8446,19186
7655,20124
10241,17278
11931,16959
11262,16248
3679,23755
1463,26250
11956,16893
376,28941
7772,19694
10284,17455
2216,26275
10198,17389
11775,17534
9609,18916
6569,24890
9513,19177
12074,17700
12342,19162
10477,16693
9941,18424
12263,20687
4722,28367
2392,25996
3837,24333
2484,22956
9815,18519
7563,20442
7379,22033
2046,28638
13084,23164
1254,26170
952,28951
4862,28897
10632,16722
10122,17499
9357,18222
7163,20160
9188,19630
1718,27676
10263,17139
13410,23019
9189,19624
12349,19245
4094,26358
11519,18347
9334,18694
11651,17945
11281,16831
7631,19952
9585,18364
2564,23247
6310,23202
6814,22321
12117,17639
1536,26012
1056,28427
1146,26859
12456,20250
1937,26357
10067,17578
1031,28550
7899,18155
3753,24419
5042,29155
3872,25658
6213,24027
10464,16897
2543,23412
96,27030
2474,23496
2684,24277
2522,21496
6697,22220
7403,21907
2239,27290
10211,17074
7200,20929
10815,15525
1042,28542
2389,26232
4238,27905
8479,19781
1592,26662
2391,26059
10595,16369
5880,25429
3703,24026
12553,19678
13120,19898
3021,24463
3698,24199
13326,23240
2901,22734
3,25063
8665,22090
10115,17247
2992,24715
11052,17152
3068,24992
11360,18426
3617,23651
3344,24310
8145,15382
11300,17177
439,28602
11680,18030
6424,24362
10439,17442
4794,28585
5767,24350
5785,24188
8424,19407
8978,19872
88,27008
11304,17586
2576,23425
12247,19380
11993,17200
8225,18167
4325,29515
274,28890
1281,25833
5271,28009
10702,16234
6904,21872
11822,17747
12888,23077
11012,16458
13132,20817
8935,19477
9426,19402
6153,23705
4542,29035
8926,19333
415,29322
13039,23537
2250,27274
8864,20779
13352,23652
4189,27002
13251,22875
710,27687
5272,27946
9558,19343
407,29524
3689,23953
7592,19761
11126,16523
3132,26394
5228,29224
8178,16612
13299,23368
3038,24350
9209,20033
6253,23686
7612,20121
8019,16520
10383,17750
13370,23277
12863,23778
11167,16764
1523,26080
4454,30742
1110,28391
11101,16864
1406,27307
8165,16684
5465,26085
12374,19463
7195,20956
10840,15556
9781,19057
7759,19763
2559,23161
12960,23684
12464,20219
12512,19683
5735,24728
633,29863
3508,24600
12575,19369
2168,28318
13317,23230
3060,24651
10260,17160
131,27157
3963,26498
4127,26562
10765,15648
10629,16809
5324,27735
774,26933
11461,18609
11172,16637
1631,26800
2333,27255
6688,22312
10543,16468
2540,23618
469,29076
12634,19426
6443,24144
5611,25367
12350,19206
9632,19359
11508,18449
12251,19850
10768,15544
11492,18185
8163,16699
598,29397
13514,24096
563,30189
1905,26253
6101,24994
9669,18866
12016,17429
1576,26522
10964,16765
6572,24881
9559,19319
12191,17448
4337,29984
5824,24023
3948,26551
79,26793
1694,26683
7872,18582
2372,26591
11617,18018
8099,15273
11491,18185
11813,17779
8331,18763
12100,17709
4508,29565
9343,18522
6372,22780
6858,22054
2091,28532
6389,23683
1904,26261
7103,19959
2837,23812
7309,20854
2498,21812
1851,26960
7222,20934
2030,28348
2588,22612
4119,26533
4353,29279
9730,19892
1145,26836
3881,26031
12116,17639
4640,28915
12509,19864
9365,18150
8406,19742
852,27065
1494,25968
12428,19856
8641,22207
2464,23144
3578,24827
5155,28454
1805,27054
2288,27608
387,29131
10825,15633
2937,24130
13052,23392
188,27951
1123,28193
4122,26501
10168,17776
9451,19578
4347,29596
7782,19388
8821,20017
10539,16157
1594,26749
10713,16162
13112,19300
500,29915
5931,26113
4074,26515
8246,18034
12976,24224
2231,26620
7364,22196
2633,24145
12200,17677
11863,17478
11387,19012
590,29751
8104,15623
6586,24393
8694,21237
12953,23633
2075,28284
4250,27843
7434,21680
9344,18403
8805,20106
4708,28386
9946,18424
777,27018
5224,29225
2347,26453
13167,21408
4816,28898
1194,25734
9217,20146
6978,20693
9845,17745
3429,25434
2304,27843
10711,16161
4295,28943
13422,23351
8536,21508
1113,28367
2982,24984
656,28786
7410,21701
5605,25434
4365,28690
11707,18068
13163,21202
13432,23551
10124,17541
10672,16324
2813,24214
10881,15955
565,30109
4401,29132
1803,27079
7775,19497
5608,25271
11107,16761
840,27074
1642,26652
12090,17650
13444,23666
8233,17797
8157,16318
2666,23986
8008,16700
46,26577
1149,26756
5899,26048
2943,24391
9999,18286
10809,15704
765,27228
