,target
12365,19661
2861,24580
12773,21957
8651,21968
5952,25516
2108,28934
10951,16716
4913,28099
9599,18833
7920,17843
5743,24820
7915,17877
8011,16897
9861,17602
3344,24310
4315,30098
6117,24579
5888,25560
4743,28541
7775,19497
10440,17400
11839,17431
8358,18912
11527,18318
6083,25382
3219,25177
12024,17618
2186,27276
11612,18117
9948,18431
1193,25842
45,26603
11247,16196
976,28852
10902,16192
9253,19682
1578,26482
8793,20321
8922,19152
2963,25052
6081,25493
4553,29446
1584,26478
3474,25684
7534,20643
11480,18723
4635,28970
11673,18305
1975,27711
3379,25190
4336,30088
5928,26140
315,28982
11536,18147
8065,16250
6167,23645
8939,19531
10489,16499
11992,17126
2840,23924
1624,26800
6778,21126
4237,27920
6558,24745
7793,19208
2315,27354
9511,19026
6961,20957
13393,23360
1071,28550
3573,24742
7303,20745
5781,24174
10995,16429
2404,26078
11170,16860
3035,24117
8543,21445
409,29433
4949,28394
37,26133
4010,26789
576,29961
10989,16606
3386,25098
2973,25004
7664,20034
8645,21890
713,27622
6084,25267
9811,18613
4246,27883
1087,28531
11717,17587
2335,27228
5038,28910
5612,25326
3411,25115
1454,26417
5773,24226
5339,27882
7911,17799
881,28121
2906,22898
1710,27564
4339,29883
6398,23773
3441,25452
5942,25812
8654,21970
2245,27228
11358,18407
12576,19494
6399,23818
6569,24890
6346,23238
5948,25520
11764,17712
7364,22196
239,28350
8528,21133
3689,23953
13214,21923
1597,26907
8671,21546
1097,28618
394,29255
9693,19482
1901,26062
9931,18707
3559,24418
12132,17404
1180,26055
7265,21607
1911,26266
4291,28836
3353,24512
8890,19672
3006,24070
2214,26200
8485,20068
2781,23903
6014,24717
10388,17965
13335,23601
8998,19807
5756,24175
10304,17723
2879,22854
12349,19245
5500,26504
11390,19018
8620,22517
11873,17242
6705,21695
7814,18974
11295,17326
10149,18140
4184,26625
1691,26846
5758,24043
4257,28264
5277,27781
6728,20410
123,27097
9758,19545
1952,27038
11521,18345
7273,21163
8290,17565
4789,28864
6977,20682
3691,24045
10768,15544
3804,24753
906,28422
10959,16855
12675,19949
3118,25275
11219,16698
6798,21219
5800,24515
3838,24524
5838,23944
13188,22148
10190,17754
1891,26409
12764,21363
5692,26062
9584,18391
295,28785
9801,18590
1046,28549
3465,25412
5483,26217
6532,24493
1785,26357
11617,18018
286,28818
5271,28009
6475,24824
1758,27033
6520,23545
1284,25380
4667,28980
11231,16430
8982,19900
11365,18356
10415,17862
11623,18086
9060,20442
4791,28882
3033,24359
4074,26515
9425,19387
12710,20322
549,29700
3833,24110
7105,19765
4974,27676
8952,19141
1731,27600
11419,19513
6978,20693
10117,17261
12561,19753
3702,24243
12845,22915
10061,17528
2648,24430
2586,22954
7231,21287
4742,28619
12175,17249
7764,19781
5936,25947
3160,25616
8037,16531
5804,24378
11253,16373
5186,28422
9251,19840
2377,26424
11027,16477
7406,21842
8337,19371
4411,29090
9050,20289
3115,25308
10464,16897
7146,20596
6658,22689
2025,28292
11616,17972
6822,21986
5714,25429
6030,24690
10263,17139
10872,15772
2585,22961
1303,25654
3282,24864
10619,17097
7087,19390
13110,19948
6618,24236
5653,25844
3948,26551
10330,17262
9904,18622
12426,19931
8720,21125
12952,23599
9936,18466
1613,26672
10561,16652
10073,17592
7136,20133
3978,26617
5013,28253
10637,16648
5318,27754
6113,24564
10035,17675
4069,26344
2981,24871
13274,22724
467,29030
9728,19946
11742,17897
10223,17446
4337,29984
10226,17131
4029,26534
106,27240
10154,18273
6220,24126
2638,24095
6639,23695
11881,17141
12620,19252
10750,15077
9901,18467
411,29389
12742,20907
11329,18093
12112,17624
11019,16242
11379,18630
11919,17318
11457,18904
8776,20819
12501,19685
7681,19923
12948,23639
4265,28236
1503,26050
6373,22810
12961,23725
10180,17795
4475,30316
4665,28916
5424,26205
11087,16577
8124,15025
4896,28529
1862,27082
8242,18149
10138,17876
6098,24882
2360,26350
5611,25367
8762,20645
2133,28895
8546,21496
8735,21099
2406,26284
29,25819
6560,24835
10057,17744
2801,24320
9782,19076
4398,29160
2922,23599
5040,29084
568,29944
11526,18311
10881,15955
10424,17668
9082,20403
1245,26346
8109,15467
12347,19188
1458,26260
1943,26531
1835,26576
11639,17916
316,28885
108,27214
10522,16348
4403,29207
6825,22002
7268,21695
12101,17741
13026,23380
3954,26332
8615,22010
12746,21220
9952,18282
13156,21455
1748,27033
8794,20555
4894,28472
4123,26526
7586,19526
2678,24410
5577,25470
4847,28997
2715,23865
7341,21187
3997,26771
8246,18034
4015,26478
10538,16183
4238,27905
6069,25637
10815,15525
6205,24096
12895,22889
5835,23960
10372,17582
5914,26019
1398,27012
11906,17059
973,28847
12822,22638
9526,18939
4004,26974
9021,20611
8518,21249
7590,19810
10236,17037
13144,21462
10894,16221
11455,18883
4902,28194
7930,17407
7460,20980
1374,26722
3088,23945
6264,23478
10792,16076
13283,23400
11482,18543
11058,16966
2458,24217
4429,29241
4693,27771
4884,29101
5114,28628
7034,21037
10,25057
7271,21274
8881,20070
6162,23448
1426,26775
10861,16101
3265,24763
13353,23500
10720,15932
718,27763
7025,20112
8658,22082
10218,17005
4191,27007
10467,16769
12445,20438
5076,29253
735,27300
5987,24854
5434,25937
323,28937
9403,19262
2140,28891
5396,26212
7078,19774
11467,18595
909,28448
2627,23947
9103,20646
5689,25841
3399,25375
496,30078
10252,17479
8390,19679
6690,22420
9236,19705
10431,17478
8423,19478
3470,25366
1206,25282
12359,19275
11799,18165.1
7372,22308
5407,25150
8807,19964
1195,25764
9148,19632
10607,16808
10594,16569
8051,16700
4313,29896
8108,15441
5627,25630
8136,15464
11333,18160
8101,15267
288,28858
4696,28144
10836,15434
8694,21237
12082,17880
4872,28972
12222,18406
9055,20430
8000,16975
11187,16831
388,29046
836,27259
9887,17809
9813,18535
280,29063
3772,24561
10964,16765
12046,17417
4679,27927
9626,19455
7093,19238
6270,23323
1112,28340
7953,17201
7945,17155
11579,18345
11254,16370
11898,17191
1034,28577
3842,24405
11852,17717
267,28729
10832,15606
1598,26875
9104,20598
7499,20790
10498,16310
4292,28865
6369,23159
3852,24798
6482,24423
8745,20828
6223,24108
3048,24651
4989,28091
10760,15347
1379,26716
8280,17693
9035,20497
12376,19455
10623,17092
6975,20630
10586,16620
416,29193
7309,20854
12964,24100
3371,25342
1962,27669
620,29458
1703,27524
7925,17797
10118,17303
6518,23313
4764,28646
3473,25738
11441,19162
4024,26567
1232,25569
5527,26088
10084,17554
12297,22723
10622,17131
5324,27735
10711,16161
10557,16658
2516,22698
8613,21985
10316,17605
3094,24237
8496,20119
7497,20658
1190,25963
10228,17114
7582,19527
5183,28476
4520,29275
8778,20617
7963,17289
3910,26205
9182,19892
7439,21835
4400,29120
7918,17950
1506,26036
11212,16928
11652,18018
13252,22839
8777,20708
9821,18299
12170,17270
5030,28724
13114,19735
10466,16838
794,26809
11850,17666
730,27611
1344,25509
7591,19679
6252,23680
12314,21138
12831,23218
2626,24080
4948,28349
9684,19456
12944,23765
1745,27619
1315,25826
5820,24090
12693,20111
13123,20621
2709,23957
5491,26493
10090,17902
7862,18772
2675,24408
1199,25560
10839,15560
7363,22103
12617,19151
6821,22091
3126,26300
1156,26062
9798,18907
12124,17502
1889,26348
7634,19890
12889,22969
13025,23380
32,25945
7420,21528
10315,17606
10446,17038
9967,18057
1336,25351
12816,22927
4320,29901
12171,17307
12214,18291
11974,17079
9617,19396
1610,26737
939,28377
6412,24422
4341,29581
8573,21791
6193,23270
5155,28454
12073,17693
745,27306
5493,26433
5598,25416
1486,26022
2877,22888
10547,16698
605,29497
1741,27660
13430,23504
1533,25678
2651,24508
10310,17727
11729,17636
9176,19800
10305,17718
3002,24016
1821,26451
7443,21057
13369,23326
1330,25420
10937,16716
5020,28230
957,28883
2110,29069
11321,17727
8292,17506
3130,26511
6384,23467
3405,25127
7573,20068
5880,25429
13216,21962
1660,26978
1026,28470
3827,24483
5589,25680
4125,26517
1247,26135
11963,16981
10085,17888
655,28911
623,29637
9709,20053
762,27235
11160,17018
10302,17772
8424,19407
6323,23257
2199,26334
13296,23311
7399,21809
7903,18105
3214,25148
6114,24618
5519,26310
12849,23208
10265,17025
7386,21925
12142,17431
9770,19059
2764,23737
4129,26672
1405,27266
10376,17489
2625,23993
8201,17399
5512,26345
5431,25897
5384,27433
3148,26275
2928,23606
1746,27649
9568,18978
10784,16076
2873,23327
3547,24230
13212,22035
11011,16446
4250,27843
11821,17729
2457,24882
9058,20533
6512,23840
76,26626
3912,26243
12714,20571
6029,24697
7934,17318
5284,27803
9033,20397
2698,23870
9522,19175
8635,22534
9305,19678
6348,23266
2260,27099
4950,28280
1775,26305
12916,24246
12428,19856
93,26865
5981,25008
11054,17166
6011,24773
9303,19411
9718,20256
13324,23208
5292,27054
714,27395
3181,25470
4702,28198
1076,28390
7995,17264
4688,27868
4110,26238
2015,27856
12130,17425
6890,22631
1885,26424
7319,21064
5123,28679
6912,21690
7336,21230
12121,17584
12087,17712
1488,26015
6425,24231
4739,28931
8975,20032
12387,19575
8863,20653
4816,28898
2759,23639
10977,16426
7800,19205
3352,24450
1437,26621
1233,25608
11676,18260
185,27692
3753,24419
12702,20364
7572,20032
7726,19236
6330,23080
2465,23085
6298,22994
2286,27533
2067,28312
1297,25727
12202,17701
11505,18103
3752,24404
11427,19629
10753,14978
449,28725
3746,24166
7530,20465
2960,24676
10122,17499
4653,28959
3621,23575
2317,27539
7040,20909
4965,27972
2185,27218
381,28823
1890,26440
1155,26033
4900,28100
6452,24096
9193,19591
1728,27689
12285,21820
12208,18059
9647,18977
2425,26053
2727,24196
6234,24215
9756,19611
1253,26175
10362,18411
4794,28585
11648,17927
8585,21525
2503,21289
6227,24126
6925,21377
2463,23332
8405,19658
2846,24371
12114,17649
13264,22877
11263,16253
1612,26715
4614,28716
3656,23509
2191,26960
1729,27705
5843,24471
12782,21822
12562,19794
7223,20944
10039,17564
11001,16110
9489,19241
5219,29117
2206,26233
530,29930
11948,16601
4542,29035
567,29949
7899,18155
13157,21060
13352,23652
11679,18202
13298,23289
11500,18318
3485,25065
4047,26696
9224,20222
9367,18107
8247,18036
12224,18290
9390,18980
12217,18284
6000,25190
10441,17453
144,27694
11115,16484
5927,26134
4870,28955
10633,16696
2755,23345
2492,23280
3139,26072
12150,17246
4447,29915
4480,30676
3272,24714
12966,24069
4810,29246
2889,23335
788,26640
4549,29684
10287,17696
4233,27461
9515,19125
6061,25415
8749,20860
5034,28911
7770,19781
11487,18376
1780,26380
8868,20551
2959,24697
11483,18534
6945,21410
349,28183
13389,23019
5386,27384
3349,24425
42,26515
801,26693
3529,24477
8537,21503
981,28661
3458,25272
8079,15504
4464,30939
11846,17470
12187,17309
4685,27852
13276,22849
5667,26257
9559,19319
12487,19773
916,28172
1616,26738
10200,17290
5664,26135
2146,29055
1833,26614
8697,21374
4720,28628
10041,17791
8014,16659
7613,20114
8704,21184
9680,19438
782,26717
4353,29279
7203,21057
8715,21320
9132,20029
2401,26175
10067,17578
2152,28729
12993,24873
2947,24134
12103,17995
7606,20192
9336,18755
4605,29272
4329,29365
7923,17821
10242,17250
3023,24170
3541,24483
3279,24858
12800,22645
7539,20882
4540,28929
2804,24081
2211,26167
6804,21411
10056,17739
9870,17982
3133,26162
9173,19981
11326,17642
2107,28950
10822,15740
10918,16220
3973,26401
6027,24754
3034,24345
10288,17656
3286,24682
2367,26693
8243,18003
12792,22611
440,28643
11334,18168
11825,17794
12025,17613
6125,24526
9620,19399
1224,25180
10790,16013
2592,23197
3247,25076
11604,18273
13260,22490
5559,25308
6695,22291
2691,23572
4132,26634
11787,17526
5358,27160
2249,27293
8115,15192
4828,28607
7292,21230
9034,20459
3649,23333
8156,16191
8872,20314
12176,17223
13201,22158
1360,26598
3196,25225
2037,28396
486,29769
8917,19662
783,26642
6596,24657
8040,16690
11346,18414
3238,25108
5478,26060
11007,16354
4325,29515
6903,21772
13410,23019
4755,29016
6649,22960
1915,26264
6149,23758
6383,23456
3464,25139
2138,28982
9551,19230
12940,23856
742,27329
6724,20805
4918,28186
5771,24538
12731,20670
12421,19826
3442,25461
12096,17695
2847,24376
5785,24188
9260,19552
8209,17599
5632,25900
4359,28809
10479,16405
12979,24693
10137,17709
1834,26640
8514,21099
7841,18864
11287,17227
7798,19176
4609,29289
4640,28915
12436,21374
7198,20967
8469,20032
3003,24212
23,25927
8269,17608
3524,24609
9848,17615
4463,31006
12738,20959
1309,25592
7298,21155
6948,21480
3475,25329
789,26734
10675,16189
11158,16984
3284,25044
5234,29004
2514,23057
9849,17647
11587,18341
7402,21939
12843,23295
8171,16587
8568,21763
3688,23951
1395,27103
6271,23189
8559,21410
13371,23200
5601,25291
6613,24696
12564,19813
6018,24850
12887,23020
4639,28950
5220,29160
7665,20011
3301,24354
11489,18407
10721,15880
9699,19672
5697,26135
712,27604
4279,28481
7559,20604
8348,19376
1822,26441
8447,19200
5049,29113
6109,24771
11778,17579
6877,21830
8918,19512
1977,27760
10691,16417
3264,24724
5321,27845
252,28510
9554,19176
2098,28666
6632,23574
10170,17771
3671,23476
6174,23740
12378,19682
13317,23230
5522,26317
4738,28958
7342,21142
5196,28258
5608,25271
10664,16223
8008,16700
9125,20406
7588,19799
10156,18283
12614,18882
13357,23475
6867,22030
9217,20146
6902,22065
56,26606
3412,24688
7886,18514
2855,24329
5022,28249
2986,24909
8276,17618
5006,28300
8925,19230
6874,21773
12345,19147
6025,24779
7589,19913
2188,27125
8828,19860
4049,26880
12126,17475
4393,29173
9267,20141
5998,25030
3544,24433
519,30084
6237,24017
9363,18300
9419,19339
5610,25364
227,27826
6930,21428
5473,26122
12265,20948
6180,23575
12941,23873
9090,20400
1699,27167
13364,23558
13198,21999
1877,26429
513,30204
8629,22685
4602,29276
8622,22617
5584,25730
4947,28512
7202,21063
13304,23588
4600,29346
2916,22796
480,29634
5168,28368
6044,25200
2577,23453
12251,19850
12178,17294
11206,16977
10094,17288
5885,25430
10655,16666
1596,26735
12434,20868
3896,26285
9488,19250
1349,26476
5181,28565
5824,24023
3777,24670
9954,18180
7297,21175
7991,17295
7743,20283
9995,18202
10249,17329
6187,23435
10972,16682
2762,23696
13215,21935
5174,28524
3685,23891
3602,24401
8302,17955
9999,18286
1446,26575
4991,28001
1020,28498
705,27732
5165,28208
1866,26868
7104,19985
13311,23316
4706,28285
13398,23207
2574,23447
10862,16076
2956,24261
3742,24102
3914,26080
9653,19014
1419,27003
1103,28454
5001,28440
12658,20336
9261,19620
1558,25774
7696,19709
10751,15017
8107,15608
11497,18326
3523,24598
9529,18801
3400,25281
13018,23968
5340,27909
4526,28901
6292,22983
8045,16795
2652,24357
4822,29071
9320,19337
12355,19295
10946,16622
11275,16681
292,28737
2836,23476
9837,18188
6072,25555
10378,17627
2870,23798
8541,21384
5841,24097
9468,19730
5787,24281
6537,24526
1318,25818
2730,24298
5090,28857
9364,18195
8141,15624
10349,17402
12267,21430
2228,26919
9983,18031
4418,29290
11830,17794
11070,16755
6134,24674
5572,25156
356,28485
10034,17643
11574,18301
837,27122
266,28557
2006,27840
5958,25441
9736,19568
2362,26667
5605,25434
11065,16622
9822,18295
9402,19254
826,27545
8753,21007
4253,28075
12499,19873
11965,16888
6769,18862
1441,26401
3066,25003
8649,21890
2748,24736
5996,25135
10175,17726
3061,24704
11462,18638
7085,19491
11257,16375
1963,27704
3125,26331
5537,25693
6876,21801
1127,28059
8236,17892
10591,16682
5173,28444
8728,21245
5144,28830
6714,21158
11834,17775
1543,25700
3263,24781
7558,20599
8771,20866
2268,27540
6810,22002
11454,18904
12266,21087
132,27181
8398,19665
10502,16373
603,29482
5206,28716
7672,19767
393,29327
12306,23128
11131,16653
6311,23186
3928,26480
5620,25465
5568,25347
11658,17966
11049,17183.5
5683,25864
2277,27803
6916,21829
3234,25106
12809,22901
3498,24937
7367,22101
5687,25668
6335,23140
401,29411
4808,28988
13337,23610
5716,25396
9517,19156
11696,18145
3403,25370
12382,19553
3883,26675
9116,20344
8457,19668
5837,23875
1573,26532
12509,19864
8371,19516
2423,26150
7550,20665
5639,26053
6831,21840
6290,22909
6248,23536
10240,17150
8121,14897
11631,18045
7132,19998
809,26690
9883,17974
2650,24518
5361,27144
13319,23265
10461,17006
3190,25567
3620,23578
1702,27186
5444,26118
12893,22849
3650,23385
10003,18077
12911,24258
12390,19650
11355,18382
3370,25365
12631,19320
7434,21680
6243,23650
9140,19929
8343,19220
10012,17953
11894,17254
9564,19105
9159,19683
9292,19647
664,28115
9284,19619
7912,17975
6969,21024
3347,24351
1568,26557
462,28792
743,27282
222,28369
8809,19797
3994,26676
7781,19354
10363,18288
625,29658
9563,19265
8214,18156
10762,15311
7289,20951
13151,21487
6803,21319
4449,30619
7458,20893
456,28678
10786,16153
8268,17523
4335,30081
2621,24559
9275,19889
5118,28718
11624,18082
10471,16714
9141,19946
1760,26986
842,27001
11813,17779
11415,19535
9552,19225
2902,22810
11997,17151
12753,21529
8184,16295
12978,24661
11345,18450
5411,25040
7844,18842
6713,21084
3431,25492
12669,20028
11932,16939
11715,17608
11575,18301
9052,20312
8060,16334
6407,24172
8526,21056
9248,19693
5071,29310
9960,17982
9044,20345
9603,18690
368,28921
11274,16624
3593,24289
1415,27059
11136,16539
13329,23235
7895,18163
5489,26287
5228,29224
8898,19413
1721,27611
12402,19785
4060,26527
12958,23528
1824,26535
10515,16200
5723,25019
11756,17961
12169,17194
3232,25600
1918,26485
7261,21801
1569,26557
7213,21148
347,28282
1242,26241
6259,23102
5920,26110
10148,17930
9761,19511
4722,28367
9027,20523
12100,17709
10684,16159
11731,17566
6597,24715
13160,21229
9784,19079
10151,18092
5828,24050
11662,18252
5267,28042
11956,16893
4730,28546
9527,18990
1222,24834
8147,15322
2134,28892
9855,17630
6557,25031
5464,26309
509,30179
9392,19015
10309,17737
748,27201
1259,26180
4718,28468
1888,26341
711,27653
11793,17615
12278,22458
7508,20798
8323,18797
10120,17654
3329,24659
3293,24615
7095,19341
10597,16386
5070,29185
11710,17894
9121,20416
104,27197
1794,26682
2386,25962
12010,17122
6717,20899
1658,26777
212,28400
6706,21630
4419,29295
12673,19846
1359,26585
334,29033
6479,24680
3110,25166
792,26830
233,28334
7144,20612
1064,28778
209,28216
10275,17157
6887,22474
7958,17105
4498,30467
4838,28729
2413,26348
7028,20783
11553,18314
10386,17819
11739,17723
871,27442
1263,26286
1618,26703
4345,29502
2414,26459
11785,17641
1220,24889
8382,19575
1765,26544
4993,28106
7528,20491
11970,17147
2001,27788
7716,19376
4581,28818
8459,19366
1485,25937
3582,24715
2523,21683
12692,20115
5125,28710
3078,24290
1305,25629
4782,28579
6729,20519
4381,28771
11947,16612
12567,19737
8995,19638
2165,28249
617,29467
13044,23659
5905,26153
5015,28332
7150,20234
9194,19575
11213,16928
13081,23151
4770,28448
13176,21394
2004,27973
12854,23063
3047,24610
6302,23141
11912,17349
5130,28678
6654,22578
11759,17825
3095,24209
5980,25029
3285,25117
6662,22745
10846,15650
9418,19361
1313,25457
10521,16344
5769,24423
6922,21129
2903,22969
6458,24333
3333,24770
3053,24513
9962,17950
10807,15690
8806,19949
2269,27533
8507,20932
11317,17676
11886,17023
8416,19288
9453,19813
5195,28193
8786,20538
6454,24075
4707,28385
11979,17090
2114,28942
8462,19585
7495,20609
9192,19562
2602,23196
11541,18204
4607,29437
9386,19031
7931,17434
4756,29020
10152,18137
5595,25465
520,30152
9399,19201
5813,24467
10509,16395
12104,18071
1092,28549
5826,24077
7210,21134
7063,19888
3771,24575
1109,28385
4655,28934
1038,28622
5399,26223
20,25657
6920,21326
6745,20180
934,28479
10667,16216
12151,17216
12698,20272
1726,27758
4490,30217
9239,19785
7675,19821
1737,27907
5932,26152
561,30157
5792,24358
12403,19831
11060,16969
1162,25887
7731,19917
8992,19644
7332,21492
1527,25974
11776,17421
2930,23669
58,26696
7532,20561
6684,22299
12528,20039
4483,30823
2291,27873
5623,25645
11540,18147
11368,18202
9697,19673
10373,17527
1649,26769
13266,22749
10991,16512
2724,24289
9520,19176
12985,24707
7054,20824
13023,23609
12777,22072
6757,19555
5294,27220
7467,20875
9791,19313
7620,20007
3870,25698
8126,14637
12787,22307
2907,22820
9669,18866
3538,24417
915,28158
4415,29266
9231,19829
12469,20021
1817,26798
13131,20536
3949,26343
337,28922
2072,28367
11646,17936
9452,19772
12441,20436
3513,24675
2815,24254
6128,24634
11466,18616
6224,24101
6991,20082
766,27088
3782,24675
6315,23223
1144,26865
10982,16588
2510,22200
12570,19969
2273,27665
9674,18756
11043,16902
7746,20017
4864,28940
6137,24207
6088,25285
5477,26166
4924,28379
4532,29201
12932,23611
1672,26756
9300,19421
7290,20901
4055,26386
5950,25541
1808,26942
2275,27787
3761,24555
10865,15927
9971,18124
8861,20656
10949,16673
2045,28606
8607,21729
6053,25282
1295,25589
7142,20477
4687,27945
3952,26349
11864,17474
4317,29866
11626,18035
444,28540
858,26939
4439,29912
841,27073
7792,19150
11934,16900
10375,17485
994,28103
5858,24979
8412,19410
1554,25743
1973,27619
12899,22845
12668,20023
8520,21287
13011,23685
2513,22629
2835,23450
4700,28256
2445,25541
2233,27093
3050,24566
8997,19701
400,29383
8161,16505
12814,22946
6258,23215
1023,28476
3298,24510
9365,18150
13297,23288
13132,20817
8687,21260
6466,25100
8127,14637
6282,22853
5263,28086
8961,19662
4080,26240
803,26740
1550,25753
1009,28592
13409,22898
2737,24523
648,29107
7639,19601
2862,24475
4975,27764
