,time,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock_code,ric_code,uuid,last_modified_date,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus
0,2023-11-01 00:00:00+08:00,17139.4,17188.8,16979.3,17101.8,1529284000,0,0,HSI,^HSI,5551240016079675867,2025-06-02 08:53:16.696166+08:00,壬子,癸亥,戊午,丁未,丁丑,戊午,癸亥,壬午,己卯,癸戌,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
1,2023-11-02 00:00:00+08:00,17282.4,17459.4,17176,17230.6,1802714600,0,0,HSI,^HSI,5578604807682218612,2025-06-02 08:53:16.696166+08:00,甲子,甲子,己未,己未,丁丑,戊午,癸亥,壬午,辛卯,甲亥,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
2,2023-11-03 00:00:00+08:00,17405.9,17729.4,17352.6,17664.1,1998722400,0,0,HSI,^HSI,15357631317777616934,2025-06-02 08:53:16.696166+08:00,丙子,乙丑,庚申,辛未,丁丑,戊午,癸亥,壬午,癸卯,乙子,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
3,2023-11-06 00:00:00+08:00,17913.5,18037.9,17899.3,17966.6,2764092100,0,0,HSI,^HSI,10372494809146000203,2025-06-02 08:53:16.696166+08:00,壬子,戊辰,癸亥,丁未,丁丑,戊午,癸亥,壬午,己卯,戊卯,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
4,2023-11-07 00:00:00+08:00,17850.6,17890.6,17658.9,17670.2,1971243300,0,0,HSI,^HSI,12202413770664115392,2025-06-02 08:53:16.696166+08:00,甲子,己巳,甲子,己未,丁丑,戊午,癸亥,壬午,辛卯,己辰,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
5,2023-11-08 00:00:00+08:00,17650.5,17753.6,17537.2,17568.5,2140777800,0,0,HSI,^HSI,320876350426530002,2025-06-02 08:53:16.696166+08:00,丙子,庚午,乙丑,辛未,丁丑,戊午,癸亥,壬午,癸卯,庚巳,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
6,2023-11-09 00:00:00+08:00,17553.3,17617.3,17457,17511.3,1643795500,0,0,HSI,^HSI,11163284519129143021,2025-06-02 08:53:16.696166+08:00,戊子,辛未,丙寅,癸未,癸亥,戊午,癸亥,戊辰,乙卯,辛午,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
7,2023-11-10 00:00:00+08:00,17350.9,17350.9,17177.5,17203.3,1674484500,0,0,HSI,^HSI,2202508941605024547,2025-06-02 08:53:16.696166+08:00,庚子,壬申,丁卯,乙未,癸亥,戊午,癸亥,戊辰,丁卯,壬未,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
8,2023-11-13 00:00:00+08:00,17263,17456.1,17126.6,17426.2,1440269500,0,0,HSI,^HSI,12817730612294914651,2025-06-02 08:53:16.696166+08:00,丙子,乙亥,庚午,辛未,癸亥,戊午,癸亥,戊辰,癸卯,乙戌,戊亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
9,2023-11-14 00:00:00+08:00,17495.1,17565.2,17358.9,17396.9,1449318000,0,0,HSI,^HSI,12283077567765346241,2025-06-02 08:53:16.696166+08:00,戊子,丙子,辛未,癸未,癸亥,戊午,癸亥,戊辰,乙卯,丙亥,戊亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
10,2023-11-15 00:00:00+08:00,17836.7,18102.3,17766.2,18079,2908679700,0,0,HSI,^HSI,4710041739729264519,2025-06-02 08:53:16.696166+08:00,庚子,丁丑,壬申,乙未,癸亥,戊午,癸亥,戊辰,丁卯,丁子,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
