,time,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock_code,ric_code,uuid,last_modified_date,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus
11,2023-11-16 00:00:00+08:00,18174.7,18174.7,17722.9,17832.8,1880199400,0,0,HSI,^HSI,11788652817736134074,2025-06-02 08:53:16.696166+08:00,壬子,戊寅,癸酉,丁未,癸亥,戊午,癸亥,戊辰,己卯,戊丑,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
12,2023-11-17 00:00:00+08:00,17584.3,17631,17413.5,17454.2,1945034800,0,0,HSI,^HSI,6839429568626247016,2025-06-02 08:53:16.696166+08:00,甲子,己卯,甲戌,己未,癸亥,戊午,癸亥,戊辰,辛卯,己寅,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
13,2023-11-20 00:00:00+08:00,17625.8,17788.9,17532.7,17778.1,1964565600,0,0,HSI,^HSI,11836343545094407843,2025-06-02 08:53:16.696166+08:00,庚子,壬午,丁丑,乙未,癸亥,戊午,癸亥,戊辰,丁卯,壬巳,甲亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
14,2023-11-21 00:00:00+08:00,17932.5,18057.6,17689,17733.9,2090432200,0,0,HSI,^HSI,12580999497515710897,2025-06-02 08:53:16.696166+08:00,壬子,癸未,戊寅,丁未,癸亥,戊午,癸亥,戊辰,己卯,癸午,乙亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
15,2023-11-22 00:00:00+08:00,17736.4,17796.9,17650.5,17734.6,1235837700,0,0,HSI,^HSI,18024392983962946139,2025-06-02 08:53:16.696166+08:00,甲子,甲申,己卯,己未,癸亥,戊午,癸亥,戊辰,辛卯,甲未,乙亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
16,2023-11-23 00:00:00+08:00,17680.1,17927.4,17577.3,17910.8,1671974300,0,0,HSI,^HSI,6599180970694464863,2025-06-02 08:53:16.696166+08:00,丙子,乙酉,庚辰,辛未,戊寅,戊午,癸亥,癸未,癸卯,乙申,庚寅,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
17,2023-11-24 00:00:00+08:00,17771.8,17771.8,17545.6,17559.4,1298211800,0,0,HSI,^HSI,3336805418980556551,2025-06-02 08:53:16.696166+08:00,戊子,丙戌,辛巳,癸未,戊寅,戊午,癸亥,癸未,乙卯,丙酉,庚寅,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
18,2023-11-27 00:00:00+08:00,17677.5,17677.5,17358.2,17525.1,1502728300,0,0,HSI,^HSI,8405532307002666354,2025-06-02 08:53:16.696166+08:00,甲子,己丑,甲申,己未,戊寅,戊午,癸亥,癸未,辛卯,己子,辛寅,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
19,2023-11-28 00:00:00+08:00,17541.5,17541.5,17303.8,17354.1,1785765500,0,0,HSI,^HSI,8843393220080572643,2025-06-02 08:53:16.696166+08:00,丙子,庚寅,乙酉,辛未,戊寅,戊午,癸亥,癸未,癸卯,庚丑,辛寅,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
20,2023-11-29 00:00:00+08:00,17359.1,17359.1,16882,16993.4,2810136500,0,0,HSI,^HSI,5431367763939473336,2025-06-02 08:53:16.696166+08:00,戊子,辛卯,丙戌,癸未,戊寅,戊午,癸亥,癸未,乙卯,辛寅,丙寅,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
21,2023-11-30 00:00:00+08:00,16985.2,17068.3,16863.1,17042.9,3013993300,0,0,HSI,^HSI,1417010674775680852,2025-06-02 08:53:16.696166+08:00,庚子,壬辰,丁亥,乙未,戊寅,戊午,癸亥,癸未,丁卯,壬卯,丙寅,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
22,2023-12-01 00:00:00+08:00,17019.2,17039,16830.3,16830.3,2434410800,0,0,HSI,^HSI,12617164670314528792,2025-06-02 08:53:16.696166+08:00,壬子,癸巳,戊子,丁未,戊寅,戊午,癸亥,癸未,己卯,癸辰,丙寅,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
23,2023-12-04 00:00:00+08:00,16919.1,16941.9,16617,16646.1,2476132300,0,0,HSI,^HSI,9977844935532132813,2025-06-02 08:53:16.696166+08:00,戊子,丙申,辛卯,癸未,戊寅,戊午,癸亥,癸未,乙卯,丙未,丁寅,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
24,2023-12-05 00:00:00+08:00,16606.5,16606.5,16228.5,16327.9,2682379700,0,0,HSI,^HSI,12140962600905889904,2025-06-02 08:53:16.696166+08:00,庚子,丁酉,壬辰,乙未,戊寅,戊午,癸亥,癸未,丁卯,丁申,壬寅,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
25,2023-12-06 00:00:00+08:00,16312,16600.4,16234.8,16463.3,1986768900,0,0,HSI,^HSI,6143404088064251208,2025-06-02 08:53:16.696166+08:00,壬子,戊戌,癸巳,丁未,戊寅,戊午,癸亥,癸未,己卯,戊酉,壬寅,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
26,2023-12-07 00:00:00+08:00,16376.4,16376.4,16158,16345.9,1947345700,0,0,HSI,^HSI,16449197207688936867,2025-06-02 08:53:16.696166+08:00,甲子,己亥,甲午,己未,戊寅,戊午,癸亥,癸未,辛卯,己戌,壬寅,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
27,2023-12-08 00:00:00+08:00,16373.4,16464.1,16249.2,16334.4,1877235700,0,0,HSI,^HSI,657062526207210053,2025-06-02 08:53:16.696166+08:00,丙子,庚子,乙未,辛未,甲子,戊午,癸亥,己巳,癸卯,庚亥,甲子,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
28,2023-12-11 00:00:00+08:00,16149.1,16276.9,15972.3,16201.5,2532290600,0,0,HSI,^HSI,7633746651562982641,2025-06-02 08:53:16.696166+08:00,壬子,癸卯,戊戌,丁未,甲子,戊午,癸亥,己巳,己卯,癸寅,己子,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
29,2023-12-12 00:00:00+08:00,16236.1,16421,16157.7,16374.5,1980791700,0,0,HSI,^HSI,5108977410623469319,2025-06-02 08:53:16.696166+08:00,甲子,甲辰,己亥,己未,甲子,戊午,癸亥,己巳,辛卯,甲卯,己子,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
30,2023-12-13 00:00:00+08:00,16311.7,16327,16145.2,16228.8,1863333100,0,0,HSI,^HSI,13059141286950292690,2025-06-02 08:53:16.696166+08:00,丙子,乙巳,庚子,辛未,甲子,戊午,癸亥,己巳,癸卯,乙辰,己子,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
31,2023-12-14 00:00:00+08:00,16419.7,16577.8,16319.2,16402.2,2341652000,0,0,HSI,^HSI,9123336012194241483,2025-06-02 08:53:16.696166+08:00,戊子,丙午,辛丑,癸未,甲子,戊午,癸亥,己巳,乙卯,丙巳,庚子,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
32,2023-12-15 00:00:00+08:00,16610.7,16964.3,16610.7,16792.2,3900268500,0,0,HSI,^HSI,14078097646934466211,2025-06-02 08:53:16.696166+08:00,庚子,丁未,壬寅,乙未,甲子,戊午,癸亥,己巳,丁卯,丁午,庚子,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
33,2023-12-18 00:00:00+08:00,16669.8,16713.4,16572.9,16629.2,1566620000,0,0,HSI,^HSI,4352912128229066127,2025-06-02 08:53:16.696166+08:00,丙子,庚戌,乙巳,辛未,甲子,戊午,癸亥,己巳,癸卯,庚酉,乙子,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
34,2023-12-19 00:00:00+08:00,16551.4,16579.6,16408,16505,1521452800,0,0,HSI,^HSI,5226963825045049112,2025-06-02 08:53:16.696166+08:00,戊子,辛亥,丙午,癸未,甲子,戊午,癸亥,己巳,乙卯,辛戌,乙子,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
35,2023-12-20 00:00:00+08:00,16647.9,16741.1,16549.5,16613.8,1647320700,0,0,HSI,^HSI,10689939870371320215,2025-06-02 08:53:16.696166+08:00,庚子,壬子,丁未,乙未,甲子,戊午,癸亥,己巳,丁卯,壬亥,丙子,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
36,2023-12-21 00:00:00+08:00,16455.1,16649.6,16444.7,16621.1,1404417200,0,0,HSI,^HSI,13334729805693062584,2025-06-02 08:53:16.696166+08:00,壬子,癸丑,戊申,丁未,甲子,戊午,癸亥,己巳,己卯,癸子,丙子,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
37,2023-12-22 00:00:00+08:00,16743.1,16857.8,16271.5,16340.4,2197553900,0,0,HSI,^HSI,12859171844736728518,2025-06-02 08:53:16.696166+08:00,甲子,甲寅,己酉,己未,甲子,戊午,癸亥,己巳,辛卯,甲丑,丙子,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
38,2023-12-27 00:00:00+08:00,16561.8,16673.6,16439.3,16624.8,2228051300,0,0,HSI,^HSI,14515336906128991714,2025-06-02 08:53:16.696166+08:00,甲子,己未,甲寅,己未,己卯,戊午,癸亥,甲申,辛卯,己午,壬卯,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
39,2023-12-28 00:00:00+08:00,16678.2,17086.1,16644.4,17043.5,2301329400,0,0,HSI,^HSI,11407294337776713765,2025-06-02 08:53:16.696166+08:00,丙子,庚申,乙卯,辛未,己卯,戊午,癸亥,甲申,癸卯,庚未,壬卯,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
40,2023-12-29 00:00:00+08:00,17066.5,17095.1,16950.9,17047.4,1570053000,0,0,HSI,^HSI,10618039068500931806,2025-06-02 08:53:16.696166+08:00,戊子,辛酉,丙辰,癸未,己卯,戊午,癸亥,甲申,乙卯,辛申,丁卯,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
41,2024-01-02 00:00:00+08:00,17135.1,17135.1,16725.3,16788.6,1720670000,0,0,HSI,^HSI,15494423400184301487,2025-06-02 08:53:16.696166+08:00,丙子,乙丑,庚申,辛未,己卯,戊午,癸亥,甲申,癸卯,乙子,甲子,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
42,2024-01-03 00:00:00+08:00,16624.9,16657.5,16564.8,16646.4,1577461700,0,0,HSI,^HSI,2346296605749141124,2025-06-02 08:53:16.696166+08:00,戊子,丙寅,辛酉,癸未,己卯,戊午,癸亥,甲申,乙卯,丙丑,甲子,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
43,2024-01-04 00:00:00+08:00,16673.4,16673.4,16516.3,16646,1789349300,0,0,HSI,^HSI,7384158979078095637,2025-06-02 08:53:16.696166+08:00,庚子,丁卯,壬戌,乙未,己卯,戊午,癸亥,甲申,丁卯,丁寅,甲子,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
44,2024-01-05 00:00:00+08:00,16573.1,16745.7,16455.6,16535.3,1936599800,0,0,HSI,^HSI,4381008902089766122,2025-06-02 08:53:16.696166+08:00,壬子,戊辰,癸亥,丁未,己卯,戊午,癸亥,甲申,己卯,戊卯,甲子,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
45,2024-01-08 00:00:00+08:00,16581.9,16592.1,16144.6,16224.5,2227172000,0,0,HSI,^HSI,9582961947802745391,2025-06-02 08:53:16.696166+08:00,戊子,辛未,丙寅,癸未,乙丑,戊午,癸亥,庚午,乙卯,辛午,甲辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
46,2024-01-09 00:00:00+08:00,16256.1,16414.8,16190,16190,1937380500,0,0,HSI,^HSI,10932839261228116665,2025-06-02 08:53:16.696166+08:00,庚子,壬申,丁卯,乙未,乙丑,戊午,癸亥,庚午,丁卯,壬未,甲辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
47,2024-01-10 00:00:00+08:00,16144,16247.3,16036.4,16097.3,1788113700,0,0,HSI,^HSI,6708094812510054602,2025-06-02 08:53:16.696166+08:00,壬子,癸酉,戊辰,丁未,乙丑,戊午,癸亥,庚午,己卯,癸申,甲辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
48,2024-01-11 00:00:00+08:00,16154.2,16459.9,16106.8,16302,1970866100,0,0,HSI,^HSI,2245103727656253120,2025-06-02 08:53:16.696166+08:00,甲子,甲戌,己巳,己未,乙丑,戊午,癸亥,庚午,辛卯,甲酉,甲辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
49,2024-01-12 00:00:00+08:00,16217,16393.7,16185.9,16244.6,1534599800,0,0,HSI,^HSI,14647000333076233720,2025-06-02 08:53:16.696166+08:00,丙子,乙亥,庚午,辛未,乙丑,戊午,癸亥,庚午,癸卯,乙戌,甲辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
50,2024-01-15 00:00:00+08:00,16258.3,16334.7,16104.5,16216.3,1368415400,0,0,HSI,^HSI,7243078838513495726,2025-06-02 08:53:16.696166+08:00,壬子,戊寅,癸酉,丁未,乙丑,戊午,癸亥,庚午,己卯,戊丑,甲辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
51,2024-01-16 00:00:00+08:00,16030.2,16197,15834.4,15865.9,2139164100,0,0,HSI,^HSI,16091109470381946021,2025-06-02 08:53:16.696166+08:00,甲子,己卯,甲戌,己未,乙丑,戊午,癸亥,庚午,辛卯,己寅,甲辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
52,2024-01-17 00:00:00+08:00,15764.4,15764.4,15194.9,15276.9,3952310100,0,0,HSI,^HSI,7854428754945285977,2025-06-02 08:53:16.696166+08:00,丙子,庚辰,乙亥,辛未,乙丑,戊午,癸亥,庚午,癸卯,庚卯,甲辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
53,2024-01-18 00:00:00+08:00,15301.2,15463.7,15184,15391.8,2815987000,0,0,HSI,^HSI,12341888475585842408,2025-06-02 08:53:16.696166+08:00,戊子,辛巳,丙子,癸未,乙丑,戊午,癸亥,庚午,乙卯,辛辰,甲辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
54,2024-01-19 00:00:00+08:00,15404.7,15540.8,15208,15308.7,2242257300,0,0,HSI,^HSI,15618865856022999131,2025-06-02 08:53:16.696166+08:00,庚子,壬午,丁丑,乙未,乙丑,戊午,癸亥,庚午,丁卯,壬巳,甲辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
55,2024-01-22 00:00:00+08:00,15349,15362.9,14794.2,14961.2,2812384600,0,0,HSI,^HSI,14023763323748030207,2025-06-02 08:53:16.696166+08:00,丙子,乙酉,庚寅,辛巳,庚辰,癸卯,戊戌,乙亥,癸卯,乙申,壬辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
56,2024-01-23 00:00:00+08:00,15038.3,15516.8,14994.4,15354,2804009700,0,0,HSI,^HSI,5945343980720843376,2025-06-02 08:53:16.696166+08:00,戊子,丙戌,辛卯,癸巳,庚辰,癸卯,戊戌,乙亥,乙卯,丙酉,壬辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
57,2024-01-24 00:00:00+08:00,15602.5,15975.1,15412.1,15899.9,3597683500,0,0,HSI,^HSI,9720087642618252823,2025-06-02 08:53:16.696166+08:00,庚子,丁亥,壬辰,乙巳,庚辰,癸卯,戊戌,乙亥,丁卯,丁戌,癸辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
58,2024-01-25 00:00:00+08:00,15989.9,16254.9,15828.9,16212,4096404800,0,0,HSI,^HSI,489334590172123523,2025-06-02 08:53:16.696166+08:00,壬子,戊子,癸巳,丁巳,庚辰,癸卯,戊戌,乙亥,己卯,戊亥,癸辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
59,2024-01-26 00:00:00+08:00,16158.7,16241,15888,15952.2,3314021500,0,0,HSI,^HSI,8213921196637315004,2025-06-02 08:53:16.696166+08:00,甲子,己丑,甲午,己巳,庚辰,癸卯,戊戌,乙亥,辛卯,己子,癸辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
60,2024-01-29 00:00:00+08:00,16046.2,16258.5,16012.6,16077.2,2923198800,0,0,HSI,^HSI,6457349540671378856,2025-06-02 08:53:16.696166+08:00,庚子,壬辰,丁酉,乙巳,庚辰,癸卯,戊戌,乙亥,丁卯,壬卯,戊辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
61,2024-01-30 00:00:00+08:00,15896.7,15896.7,15655,15703.5,2565524400,0,0,HSI,^HSI,15109415728712227357,2025-06-02 08:53:16.696166+08:00,壬子,癸巳,戊戌,丁巳,庚辰,癸卯,戊戌,乙亥,己卯,癸辰,己辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
62,2024-01-31 00:00:00+08:00,15652,15744,15411.7,15485.1,2594937800,0,0,HSI,^HSI,12095160472487848679,2025-06-02 08:53:16.696166+08:00,甲子,甲午,己亥,己巳,庚辰,癸卯,戊戌,乙亥,辛卯,甲巳,己辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
63,2024-02-01 00:00:00+08:00,15522.9,15805.1,15434.8,15566.2,2454568100,0,0,HSI,^HSI,17178312712126017960,2025-06-02 08:53:16.696166+08:00,丙子,乙未,庚子,辛巳,庚辰,癸卯,戊戌,乙亥,癸卯,乙午,己辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
64,2024-02-02 00:00:00+08:00,15756.1,15912.6,15435.8,15533.6,2475955200,0,0,HSI,^HSI,17450532731266116614,2025-06-02 08:53:16.696166+08:00,戊子,丙申,辛丑,癸巳,庚辰,癸卯,戊戌,乙亥,乙卯,丙未,甲辰,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
65,2024-02-05 00:00:00+08:00,15336.9,15669.8,15336.9,15510,2313277300,0,0,HSI,^HSI,18354140223445310526,2025-06-02 08:53:16.696166+08:00,甲子,己亥,甲辰,己巳,丙寅,癸卯,戊戌,辛酉,辛卯,己戌,丙寅,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
66,2024-02-06 00:00:00+08:00,15541.2,16154,15541.2,16136.9,3314171100,0,0,HSI,^HSI,13979422269472837394,2025-06-02 08:53:16.696166+08:00,丙子,庚子,乙巳,辛巳,丙寅,癸卯,戊戌,辛酉,癸卯,庚亥,丙寅,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
67,2024-02-07 00:00:00+08:00,16282.4,16408.2,16035.4,16081.9,2809645100,0,0,HSI,^HSI,8268987976892988817,2025-06-02 08:53:16.696166+08:00,戊子,辛丑,丙午,癸巳,丙寅,癸卯,戊戌,辛酉,乙卯,辛子,丙寅,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
68,2024-02-08 00:00:00+08:00,15988.6,16093.5,15821.9,15878.1,1940615100,0,0,HSI,^HSI,14359521941027683884,2025-06-02 08:53:16.696166+08:00,庚子,壬寅,丁未,乙巳,丙寅,癸卯,戊戌,辛酉,丁卯,壬丑,辛寅,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
69,2024-02-09 00:00:00+08:00,15709.3,15754,15531,15746.6,745466400,0,0,HSI,^HSI,11798281031058696810,2025-06-02 08:53:16.696166+08:00,壬子,癸卯,戊申,丁巳,丙寅,癸卯,戊戌,辛酉,己卯,癸寅,辛寅,戊寅,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
70,2024-02-14 00:00:00+08:00,15579.4,15911,15456.3,15879.4,1403032800,0,0,HSI,^HSI,1076136003901962507,2025-06-02 08:53:16.696166+08:00,壬子,戊申,癸卯,丁未,丙寅,甲辰,己酉,辛未,己卯,戊未,丁寅,甲辰,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
71,2024-02-15 00:00:00+08:00,15824.2,16029,15751.4,15944.6,1056900200,0,0,HSI,^HSI,9848573904317997052,2025-06-02 08:53:16.696166+08:00,甲子,己酉,甲辰,己未,丙寅,甲辰,己酉,辛未,辛卯,己申,丁寅,甲辰,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
72,2024-02-16 00:00:00+08:00,16007.5,16394.2,15937.3,16340,1742961100,0,0,HSI,^HSI,5815619689656121533,2025-06-02 08:53:16.696166+08:00,丙子,庚戌,乙巳,辛未,丙寅,甲辰,己酉,辛未,癸卯,庚酉,丁寅,甲辰,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
73,2024-02-19 00:00:00+08:00,16334.5,16334.5,16138,16155.6,2185820800,0,0,HSI,^HSI,11129842120797367532,2025-06-02 08:53:16.696166+08:00,壬子,癸丑,戊申,丁未,丙寅,甲辰,己酉,辛未,己卯,癸子,戊寅,甲辰,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
74,2024-02-20 00:00:00+08:00,16222.1,16274.6,16055.1,16247.5,2205924400,0,0,HSI,^HSI,5703341566508023080,2025-06-02 08:53:16.696166+08:00,甲子,甲寅,己酉,己未,辛巳,甲辰,己酉,丙戌,辛卯,甲丑,癸巳,甲辰,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
75,2024-02-21 00:00:00+08:00,16182.9,16756,16138.8,16503.1,3844263000,0,0,HSI,^HSI,11974605448448946117,2025-06-02 08:53:16.696166+08:00,丙子,乙卯,庚戌,辛未,辛巳,甲辰,己酉,丙戌,癸卯,乙寅,癸巳,甲辰,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
76,2024-02-22 00:00:00+08:00,16489.8,16742.9,16424.8,16742.9,2739673200,0,0,HSI,^HSI,10178129519316334304,2025-06-02 08:53:16.696166+08:00,戊子,丙辰,辛亥,癸未,辛巳,甲辰,己酉,丙戌,乙卯,丙卯,癸巳,甲辰,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
