,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
cs_base_hour_current_hour,1,0.0019514,-0.14216,0.00184038,0.000931793,0.0040846,-0.608892,-0.00177334,-0.00476896,-0.00429574,0.0116185,-0.00237292,0.635204,0.00105048,-0.038312,0.00381412,0.00583215,0.000599508,0.382496,-0.000684194,0.0820563,-0.00108062,0.0058802,0.00303365,-0.910851,-0.000624007,0.197166,0.00300482,-0.00760692,-0.00752598,-0.436489,-0.000296698,-0.105283,-0.00610994,0.00431103,0.00046732,-0.0169987
cs_base_hour_current_day,0.0019514,1,-0.00219623,0.00402952,-0.00810284,0.00780799,0.000103378,-0.691826,0.00150348,-0.000336389,0.0151792,-0.0107806,0.00253772,0.663762,-0.00455872,0.000958458,-0.0086114,-0.0089586,-0.000474252,0.321578,0.00127034,0.00720416,-0.0144531,-0.000427959,-0.000631526,-0.873482,-0.000295455,-0.00751656,0.00807723,-0.00765061,-0.00119392,-0.490039,0.00397902,-0.000598134,0.0159361,0.00493185,-0.00188908
cs_base_hour_current_hour_minus,-0.14216,-0.00219623,1,0.00115658,-0.031699,0.000698259,0.186408,0.00191751,-0.732465,-0.00316379,0.0155509,-0.00311125,0.0948946,-0.00262659,0.72421,-0.00125611,-0.0136176,0.00119656,0.344975,-0.00113228,0.260567,-0.0010346,-0.0538364,0.00375225,-0.0185261,0.00184849,-0.887715,-0.00108623,0.0711215,-0.00143747,-0.146561,0.00219456,-0.558928,0.000669656,0.00876605,-0.00218181,0.0117621
cs_base_hour_current_month,0.00184038,0.00402952,0.00115658,1,0.0359548,-0.0240205,-0.000239626,-0.01169,-0.00249927,-0.680815,-0.0263235,0.0134353,0.00166683,0.000233908,-0.00149936,0.648678,0.0126907,0.103926,0.000314404,0.000594348,-0.00156115,0.298469,0.00870179,0.211756,-0.00114982,-0.000111968,-0.000584282,-0.874833,-0.0369449,-0.0300564,-0.000644952,-0.00408207,0.000765886,-0.460937,0.00128555,-0.164585,0.014164
cs_base_hour_current_year,0.000931793,-0.00810284,-0.031699,0.0359548,1,0.00903967,-0.000574707,0.00310129,0.0302188,-0.000228134,-0.798143,-0.00291869,0.000802565,-0.00482311,-0.034223,0.00695426,0.66015,0.00317673,0.000610079,0.0059395,-0.0656327,0.0363861,0.270147,-0.000542698,-0.000741146,0.00186249,0.0740962,-0.0587561,-0.871433,-0.00499747,-0.000621716,0.00150187,0.028918,0.00957137,-0.500713,-0.0128942,0.211377
cs_base_hour_current_month_minus,0.0040846,0.00780799,0.000698259,-0.0240205,0.00903967,1,-0.00218324,0.0117782,-0.00169084,-0.0204981,-0.0269888,-0.700405,0.00337789,0.00439162,0.00106271,0.0957571,0.00864191,0.681055,0.00280202,-0.00715828,0.000173663,0.24583,0.00875862,0.336727,-0.00369435,-0.00972877,0.000984316,-0.0475724,-0.00378678,-0.874934,-0.00207496,0.0107637,-0.00196566,-0.171743,-0.0117989,-0.514565,0.0417277
cs_base_day_current_hour,-0.608892,0.000103378,0.186408,-0.000239626,-0.000574707,-0.00218324,1,2.00518e-05,0.0597708,0.00364427,-0.00984897,0.000681362,-0.406483,0.000494415,-0.0309014,-0.00262455,-0.00470966,0.000269804,-0.573604,0.000507736,-0.0769159,0.000319538,-0.00588847,-0.00206071,0.605446,-0.000484478,-0.240724,-0.00375501,0.00660088,0.00535955,0.566497,2.86447e-05,0.103156,0.00545242,-0.00357527,-0.0013478,0.0152205
cs_base_day_current_day,-0.00177334,-0.691826,0.00191751,-0.01169,0.00310129,0.0117782,2.00518e-05,1,-0.00129131,0.0109859,-0.0089501,-0.00592769,-0.00093841,-0.488061,0.00302625,-0.012475,0.00422873,0.00889808,0.000850058,-0.488058,-0.00119587,-0.0128963,0.00778947,-0.00818044,0.000930786,0.579779,-9.06777e-05,0.0103652,-0.00309741,-0.00396019,-0.000157863,0.665075,-0.00248594,0.0129082,-0.0097156,-0.00351267,0.00497583
cs_base_day_current_hour_minus,-0.00476896,0.00150348,-0.732465,-0.00249927,0.0302188,-0.00169084,0.0597708,-0.00129131,1,0.00518627,-0.0207794,0.00279248,-0.268349,0.00151131,-0.526613,-0.00168577,0.00910886,-4.67672e-05,-0.474781,0.00114636,-0.452272,0.00138983,0.048816,-0.00417864,0.0583341,-0.00204081,0.653207,-0.000346924,-0.0655889,0.00421836,0.26302,-0.00118391,0.687424,0.00329614,-0.00965753,0.000789938,-0.00180832
cs_base_day_current_month,-0.00429574,-0.000336389,-0.00316379,-0.680815,-0.000228134,-0.0204981,0.00364427,0.0109859,0.00518627,1,0.00966601,-0.00646462,-0.00309335,0.000377438,-0.00266928,-0.487556,0.0318437,-0.166685,-0.00226882,0.00109943,-0.00633231,-0.498407,-0.02134,-0.169013,0.0036886,-0.00562086,0.00619759,0.578803,0.0212611,0.0837121,0.0025616,0.00623484,0.00356593,0.656627,-0.0246725,0.0957192,0.00945021
