,feature,importance
114,base_hour_pillar_minus_heavenly_sin,0
113,base_hour_pillar_minus_earthly,0
112,base_hour_pillar_minus_heavenly,0
111,base_month_pillar_minus_earthly_cos,0
110,base_month_pillar_minus_earthly_sin,0
105,base_hour_pillar_earthly_cos,0
104,base_hour_pillar_earthly_sin,0
103,base_hour_pillar_heavenly_cos,0
136,cs_base_day_current_hour,0
148,cs_base_month_current_hour,0
142,cs_base_hour_minus_current_hour,0
154,cs_base_year_current_hour,0
160,cs_base_month_minus_current_hour,0
