,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
cs_base_month_current_month,-0.0014316,0.00705982,-0.000807812,0.295267,0.0365625,0.245506,0.000565638,-0.0120372,0.00138362,-0.497908,-0.0513306,-0.183137,-0.00245364,0.00678608,-0.00276722,0.56282,0.00762458,0.0733,-0.000323792,0.0037943,-0.00631262,1,0.011306,-0.0131406,0.000269908,-0.00445218,0.00369589,-0.465828,-0.0465002,-0.184195,0.00160542,-0.00898663,0.00287444,-0.688082,-0.00528681,-0.0121625,0.0130046
cs_base_month_current_year,0.00475833,-0.0151949,-0.0495002,0.00847689,0.198994,0.0104712,-0.00483623,0.00755868,0.0450448,-0.0243471,-0.435895,0.00771252,0.00489999,-0.00979878,-0.0626181,0.057115,0.595605,-0.019591,0.00309885,-0.00446708,-0.107394,0.011306,1,0.00836913,-0.00329281,0.0133665,0.112757,0.0324256,-0.378988,-0.0487842,-0.00416045,0.00341441,0.0538509,-0.0680701,-0.726777,0.0327756,-0.289753
cs_base_month_current_month_minus,0.00303341,-0.000128013,0.00339507,0.211649,0.00295244,0.33525,-0.00212176,-0.00827197,-0.00371041,-0.171109,0.0165783,-0.480997,0.00362724,-0.00233805,0.00487832,0.0490632,-0.00817956,0.586294,0.00453007,0.00743496,0.0047613,-0.0131406,0.00836913,1,-0.00318969,-0.00299883,-0.00388409,-0.157434,-0.0180126,-0.505806,-0.00276461,-0.00068934,-0.00466674,0.00498103,0.00722636,-0.691889,-0.0235196
cs_base_year_current_hour,-0.909759,8.08177e-05,-0.0352562,-0.000824827,0.000838032,-0.00380536,0.589852,-0.000423049,0.0485379,0.00351742,-0.00784451,0.003162,-0.406543,0.00102513,-0.186101,-0.000550984,-0.00239145,-0.00226392,-0.527833,0.00229504,-0.0613741,0.000269908,-0.00329281,-0.00318969,1,-0.000500694,-0.132466,-0.00082214,0.0040331,0.00545954,0.293705,-0.00197583,0.247271,0.00219818,-0.00264349,0.00119675,0.0101558
cs_base_year_current_day,-0.000248787,-0.873455,0.00150049,-0.000183662,0.00148487,-0.0106348,-0.000145197,0.579698,-0.00171411,-0.00524507,-0.00958999,0.00991405,-0.00120303,-0.488362,0.00401604,0.0021742,0.00610014,-0.00110937,0.000501195,-0.490711,0.000673631,-0.00445218,0.0133665,-0.00299883,-0.000500694,1,-2.17312e-05,0.00623038,-0.00208393,0.00808846,0.000927803,0.323228,-0.00425903,-0.00434461,-0.0131218,0.000631139,-0.004926
cs_base_year_current_hour_minus,0.194048,-0.000959261,-0.888225,-0.000388045,0.0696807,0.00035528,-0.238212,0.00112286,0.655991,0.00555798,-0.0541696,0.00474813,-0.127785,0.000595003,-0.602164,-0.000954657,0.0378102,0.0024147,-0.15352,0.000188724,-0.452066,0.00369589,0.112757,-0.00388409,-0.132466,-2.17312e-05,1,-0.00442762,-0.142399,0.00214506,0.139451,9.36018e-05,0.44271,0.00399829,-0.0207336,0.000836834,-0.0111806
cs_base_year_current_month,0.00279716,-0.00822774,-0.000889082,-0.874455,-0.0631453,-0.0466,-0.00346516,0.0103402,-0.000330972,0.579104,0.0399077,0.0385686,0.00366883,-0.0031084,0.00260474,-0.464617,-0.0544137,-0.179109,0.000181052,0.00107989,0.0100362,-0.465828,0.0324256,-0.157434,-0.00082214,0.00623038,-0.00442762,1,0.0274165,-0.0234027,-0.00347755,0.00242568,-0.00301303,0.293464,0.0186505,0.225716,-0.0446608
cs_base_year_current_year,-0.00563251,0.00825278,0.0613705,-0.0387851,-0.883886,-0.00339269,0.00497256,-0.00271971,-0.0569695,0.0299718,0.645433,-0.00505703,-0.00489346,0.00447832,0.0744548,-0.0455982,-0.556749,0.0132139,-0.00302875,-0.00660472,0.134054,-0.0465002,-0.378988,-0.0180126,0.0040331,-0.00208393,-0.142399,0.0274165,1,0.0320705,0.00383511,-0.000538051,-0.0644449,0.0471572,0.368812,-0.0116638,0.0032424
cs_base_year_current_month_minus,-0.00704872,-0.00774019,-0.00160687,-0.0302272,-0.00280559,-0.874278,0.00481706,-0.0040245,0.00390621,0.0846596,0.0251943,0.58698,-0.006437,-0.00427236,-0.00268855,-0.159174,0.00119537,-0.510226,-0.00422517,0.00109445,-0.00470173,-0.184195,-0.0487842,-0.505806,0.00545954,0.00808846,0.00214506,-0.0234027,0.0320705,1,0.00451417,-0.00409927,0.00381344,0.232722,0.0133004,0.347694,0.0133528
cs_base_month_minus_current_hour,-0.413874,-0.000999803,-0.164847,-0.000265845,0.000834502,-0.00223532,0.551446,-0.000547861,0.257459,0.00237328,-0.00745299,0.00129915,-0.888073,0.00125961,-0.0686974,-0.00161326,-0.00206027,-0.000886387,-0.675625,0.00101246,0.0722042,0.00160542,-0.00416045,-0.00276461,0.293705,0.000927803,0.139451,-0.00347755,0.00383511,0.00451417,1,-0.00155992,0.0894786,0.00374869,-0.00270477,0.000349837,0.00995346
cs_base_month_minus_current_day,0.00193944,-0.489108,0.000999926,-0.00308255,0.00319942,0.01001,-0.000548074,0.665099,-0.00112015,0.00583865,-0.00933563,-0.00637196,0.00246411,-0.873615,0.00198534,-0.00673999,0.0040311,0.0112142,0.00261273,-0.6933,0.000941673,-0.00898663,0.00341441,-0.00068934,-0.00197583,0.323228,9.36018e-05,0.00242568,-0.000538051,-0.00409927,-0.00155992,1,-0.0023741,0.00906146,-0.0083725,-0.00701896,0.00425306
cs_base_month_minus_current_hour_minus,-0.111238,0.0039698,-0.568673,0.00050832,0.0327401,-0.00144187,0.108157,-0.00220581,0.697821,0.0036182,-0.0314532,0.0051429,-0.0910611,0.00366823,-0.880714,-0.000121448,0.0176364,-0.000110922,-0.399687,0.00241545,-0.707104,0.00287444,0.0538509,-0.00466674,0.247271,-0.00425903,0.44271,-0.00301303,-0.0644449,0.00381344,0.0894786,-0.0023741,1,0.00221109,-0.0131218,0.00195846,3.53121e-05
cs_base_month_minus_current_month,-0.00449569,0.000161664,-0.000357847,-0.459818,0.0173968,-0.17216,0.00386763,0.0123266,0.00327406,0.653723,0.00801172,0.127595,-0.00456135,-0.000696805,-0.000404971,-0.873852,0.041479,-0.0206833,-0.000495052,-0.00579028,-0.00683325,-0.688082,-0.0680701,0.00498103,0.00219818,-0.00434461,0.00399829,0.293464,0.0471572,0.232722,0.00374869,0.00906146,0.00221109,1,-0.0180378,-0.0313842,0.0219518
cs_base_month_minus_current_year,0.00467472,0.0166041,0.00681279,-0.00229304,-0.478647,-0.0148861,-0.00407562,-0.00999419,-0.00775238,-0.0245193,0.731429,0.0112088,0.00375536,0.0139437,0.0137578,0.00155256,-0.870516,-0.00413282,0.000626366,0.00678865,0.0270832,-0.00528681,-0.726777,0.00722636,-0.00264349,-0.0131218,-0.0207336,0.0186505,0.368812,0.0133004,-0.00270477,-0.0083725,-0.0131218,-0.0180378,1,0.0116917,-0.0697378
cs_base_month_minus_current_month_minus,-0.000450961,0.00500206,-0.00207039,-0.163593,-0.0178726,-0.514768,-0.000773538,-0.00420288,0.00112801,0.0941745,-0.00607176,0.667678,-0.00103361,0.00258951,-0.00237223,-0.0317896,-0.0228595,-0.874712,-0.00230264,0.000434528,-0.000145591,-0.0121625,0.0327756,-0.691889,0.00119675,0.000631139,0.000836834,0.225716,-0.0116638,0.347694,0.000349837,-0.00701896,0.00195846,-0.0313842,0.0116917,1,-0.0612063
target,-0.0144482,-0.00191815,0.00990202,0.013937,0.215849,0.0418187,0.0129361,0.00554412,-0.00159028,0.00999066,-0.108921,0.0181042,-0.0128155,-0.00195385,0.00578383,-0.00792866,0.22458,0.0869202,-0.0073503,0.0052015,-0.00434149,0.0130046,-0.289753,-0.0235196,0.0101558,-0.004926,-0.0111806,-0.0446608,0.0032424,0.0133528,0.00995346,0.00425306,3.53121e-05,0.0219518,-0.0697378,-0.0612063,1
