,target
11264,16322
11509,18449
1509,25883
1896,26050
7834,19432
10740,15390
8290,17565
3328,24613
7645,19940
1845,26991
111,26997
472,29114
6086,25263
8631,22748
10707,16250
6346,23238
9334,18694
11322,17673
6520,23545
9672,18677
11209,17135
1183,25995
11497,18326
2861,24580
4375,28354
4725,28316
5667,26257
2108,28934
12215,18295
8977,20069
12671,19862
7944,17196
12613,18871
5155,28454
13122,20805
10477,16693
6747,20495
9082,20403
8797,20350
5908,26161
5309,27551
9932,18707
6153,23705
11861,17467
8518,21249
11545,18361
12568,19717
3219,25177
12190,17450
2186,27276
11723,17524
9027,20523
1193,25842
45,26603
11268,16526
976,28852
10923,16507
3834,24172
1578,26482
8810,19696
3305,24447
2963,25052
6101,24994
5837,23875
1584,26478
7091,19232
9589,18758
11501,18306
10165,17811
8724,21106
1975,27711
6088,25285
4351,29420
12090,17650
315,28982
11559,18314
5494,26429
6187,23435
8956,19363
10508,16353
9416,19325
2840,23924
1624,26800
6800,21307
6983,20578
6580,24425
5128,28658
2315,27354
3668,23533
7107,19803
9191,19522
1071,28550
12956,23442
9918,18333
7171,20101
7188,20567
2404,26078
13233,21986
3035,24117
5385,27423
409,29433
4965,27972
37,26133
4046,26705
576,29961
3482,25132
6377,23062
2973,25004
4881,29120
8614,21991
713,27622
3995,26757
8013,16740
4600,29346
1087,28531
4580,28672
2335,27228
8222,18260
3409,25159
8972,19959
1454,26417
10718,15876
3651,23401
9724,20012
881,28121
2906,22898
1710,27564
4989,28091
3958,26462
3469,25332
10973,16560
5246,28630
2245,27228
6951,21436
12599,19320
9590,18610
8042,16879
11489,18407
7153,20531
8292,17506
7387,21937
239,28350
7779,19379
4921,28297
11670,18391
1597,26907
8688,21482
1097,28618
394,29255
9711,20107
1901,26062
10124,17541
10557,16658
12155,17191
1180,26055
7288,20921
1911,26266
10110,17230
3353,24512
8816,19949
3006,24070
2214,26200
11801,18302.2
2781,23903
7328,21405
6994,19739
12849,23208
8653,21853
4101,26364
5653,25844
2879,22854
12464,20219
5519,26310
10598,16379
8637,22246
11896,17223
7757,19872
7838,19076
5597,25242
3478,25096
9399,19201
1691,26846
5778,23998
9362,18313
11686,17991
6750,20313
123,27097
12854,23063
1952,27038
11543,18204
9140,19929
4393,29173
3838,24524
3873,25718
3721,24619
3413,24598
9529,18801
3684,23835
906,28422
11182,16773
12500,19666
3118,25275
11240,16256
6820,22027
9971,18124
11567,18377
5858,24979
13212,22035
12121,17584
1891,26409
4091,26523
5711,25387
9224,20222
295,28785
9531,18806
1046,28549
10825,15633
5502,26552
12413,19586
1785,26357
13029,23534
286,28818
6181,23541
7799,19113
1758,27033
5384,27433
1284,25380
7589,19913
6334,23178
6498,24316
11386,19059
7773,19575
7584,19648
9565,19055
9022,20563
3033,24359
567,29949
6556,25031
10790,16013
549,29700
10410,17847
12602,19063
10788,16001
5349,27490
1731,27600
10264,17086
5697,26135
10135,17767
8604,21655
12158,17072
6032,24476
4333,30032
2648,24430
2586,22954
11131,16653
6743,20357
12198,17670
10835,15544
10936,16669
3160,25616
8299,17643
5824,24023
7496,20684
11124,16491
7139,20359
8014,16659
2377,26424
11048,17124.6
12563,19810
7530,20465
9187,19573
10179,17739
3115,25308
5507,26546
7169,20236
10082,17499
2025,28292
12495,19860
6844,21824
5733,24655
4602,29276
5049,29113
10892,16029
2585,22961
1303,25654
3282,24864
7719,19472
7110,19961
4394,28992
11810,17881
9537,18780
8271,17555
9195,19567
8139,15403
12449,20262
11331,18119
12459,20470
13411,23053
1613,26672
10580,16569
6461,24708
5324,27735
4012,26440
5030,28724
9723,20174
12380,19504
5013,28253
4035,26632
13343,23745
2981,24871
8324,18784
467,29030
12300,22590
11763,17751
11583,18427
4352,29426
4168,26370
5511,26409
106,27240
6818,21859
12370,19397
2638,24095
8295,17263
11904,17059
12351,19268
5654,25876
6664,22369
411,29389
12535,20108
13184,22032
12135,17541
7502,20913
11400,19088
11942,16798
10615,17128
8187,16129
6472,24916
5140,28805
3860,25479
6784,21312
1503,26050
8022,16475
6405,23975
13263,22838
12684,19737
5899,26048
7720,19469
10822,15740
7565,20291
10154,18273
1862,27082
8929,19147
10156,18283
6118,24553
2360,26350
8781,20539
8779,20546
2133,28895
8563,21592
9376,18952
2406,26284
29,25819
12033,17510
5643,26034
2801,24320
7965,17967
13255,22700
2922,23599
12434,20868
568,29944
11549,18337
9285,19631
8451,19425
5948,25520
1245,26346
5928,26140
11625,18117
1458,26260
1943,26531
1835,26576
11660,18067
316,28885
108,27214
6423,24400
4509,29760
12260,20652
10452,17130
5261,28107
10114,17256
3988,26574
12429,19899
5838,23944
9898,18467
13180,21622
1748,27033
7412,21479
7897,18072
11548,18361
8869,20549
2678,24410
13307,23550
4863,28869
2715,23865
11764,17712
4031,26537
4949,28394
7669,20066
6072,25555
8821,20017
11243,16204
10942,16790
5113,28568
5756,24175
4010,26789
12576,19494
5174,28524
1398,27012
7977,17995
973,28847
9019,20488
5993,24941
4348,29566
11877,17030
9038,20457
5282,27932
7613,20114
7810,19000
5202,28660
10915,16308
11833,17809
4918,28186
7501,20889
12442,20329
1374,26722
3088,23945
11116,16522
6192,23332
4414,29235
8482,19870
12347,19188
2458,24217
9526,18939
5589,25680
4900,28100
5425,26065
6724,20805
10,25057
9214,19988
10157,18289
9634,19103
1426,26775
10881,15955
3265,24763
7447,20993
10739,15393
718,27763
7127,20471
8675,21794
9377,19096
