,target
3409,24450
3351,24559
4874,28915
1566,25753
11481,16211
13342,23388
10014,18535
7802,20028
2620,23550
9178,19638
10940,15875
2613,23328
9713,19185
3026,24830
9379,19562
12113,17349
5899,24583
13485,21903
1011,28340
4755,28441
5960,24844
6077,25300
6143,24754
5751,26018
2685,24523
7630,20324
8978,20348
4989,28086
5702,25310
4894,29033
8146,17668
5835,25039
3562,24914
12813,19635
12615,19275
5597,26433
11606,18266
6561,24245
9844,18977
2727,24300
1345,25491
1444,26789
8963,20580
8048,18371
5384,27883
6088,25112
9609,19361
2422,25803
3944,25755
2732,23731
80,26798
6946,22061
4019,26343
6802,22647
335,29052
10877,16551
7864,19645
12986,20820
10722,16366
1572,25809
10365,18217
11727,18407
879,28056
3369,24936
11565,18119
1509,25988
1896,26394
9887,19398
12487,19087
12223,17033
11773,18196
11578,18448
1845,26536
111,26997
472,29114
6386,23508
5657,25357
12430,17454
4519,29912
9377,19573
6177,25376
6310,23478
9233,20333
11263,16592
1183,25863
7981,19374
2861,24149
10612,17769
11204,16462
13194,24248
2108,28042
3798,24543
4991,28133
6912,21297
8027,18574
5294,28234
12669,19634
4202,26698
9922,20174
4320,28078
4382,29528
8559,19638
10489,17293
9314,20282
7405,21568
12659,19785
11916,18311
5623,26310
11602,18230
9568,19123
3219,25884
9027,20592
2186,28681
10834,17168
6454,23008
11215,16586
1193,26179
45,26603
5049,27866
11322,16599
976,28903
10973,15017
13093,22835
1578,26102
9840,18727
9156,19989
2963,22857
6174,25242
4622,28929
1584,26557
12731,19965
7637,20824
11987,17860
4706,28914
8764,21621
1975,26663
3487,25136
4403,29513
5350,28211
315,28982
11612,18601
5564,26370
9349,19678
8997,19979
12442,17450
9066,19915
2840,24486
1624,26834
6876,20180
4303,27584
13068,22698
7222,19524
2315,27712
3752,23951
8297,15456
9176,19579
3794,24570
1071,28768
4064,26664
3963,26283
5872,24463
7171,20731
2404,26555
11245,16218
3035,25014
5453,27388
409,29433
12505,20028
37,26133
2286,27053
576,29961
3563,24924
7781,19952
2973,23538
10774,16658
8654,20020
713,27622
4083,26760
6562,24219
4313,27905
1087,28459
13023,21538
2335,27895
5118,28296
9260,20207
3520,25184
1454,26401
13325,23467
6141,24779
8018,18714
881,28121
2906,24580
1710,26846
4540,31048
4046,26489
3550,24965
8937,20870
4074,26785
2245,26276
6247,24709
12658,19782
6495,22810
6666,24571
11179,16656
8897,21135
8330,16618
7466,21148
239,28350
7861,19621
3804,24316
12216,17097
5532,25716
