,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus
0,2023-11-01 08:00:00+08:00,166.276,167.367,158.724,165.968,1585,HSI,^HSI,8239361874829580651,2025-06-02 02:33:22.079108+08:00,丙辰,癸亥,戊午,辛亥,丁丑,戊午,癸亥,壬午,癸未,癸子,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
1,2023-11-02 08:00:00+08:00,113.626,114.753,109.806,112.152,7040,HSI,^HSI,4791695721980926902,2025-06-02 02:33:22.079108+08:00,戊辰,甲子,己未,癸亥,丁丑,戊午,癸亥,壬午,乙未,甲丑,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
2,2023-11-03 08:00:00+08:00,170.527,180.088,163.667,177.44,5448,HSI,^HSI,5687480931791627871,2025-06-02 02:33:22.079108+08:00,庚辰,乙丑,庚申,乙亥,丁丑,戊午,癸亥,壬午,丁未,乙寅,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
3,2023-11-04 08:00:00+08:00,101.303,106.029,98.1495,102.288,8872,HSI,^HSI,15376435054641745148,2025-06-02 02:33:22.079108+08:00,壬辰,丙寅,辛酉,丁亥,丁丑,戊午,癸亥,壬午,己未,丙卯,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
4,2023-11-05 08:00:00+08:00,188.553,190.538,184.583,187.821,4667,HSI,^HSI,9907765623953098643,2025-06-02 02:33:22.079108+08:00,甲辰,丁卯,壬戌,己亥,丁丑,戊午,癸亥,壬午,辛未,丁辰,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
5,2023-11-06 08:00:00+08:00,142.414,148.645,135.048,138.793,9088,HSI,^HSI,5446656644070187147,2025-06-02 02:33:22.079108+08:00,丙辰,戊辰,癸亥,辛亥,丁丑,戊午,癸亥,壬午,癸未,戊巳,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
6,2023-11-07 08:00:00+08:00,136.911,140.715,130.059,138.297,7801,HSI,^HSI,16216932307744087342,2025-06-02 02:33:22.079108+08:00,戊辰,己巳,甲子,癸亥,丁丑,戊午,癸亥,壬午,乙未,己午,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
7,2023-11-08 08:00:00+08:00,109.423,114.632,101.148,107.084,3490,HSI,^HSI,1412445870186644546,2025-06-02 02:33:22.079108+08:00,庚辰,庚午,乙丑,乙亥,癸亥,戊午,癸亥,戊辰,丁未,庚未,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
8,2023-11-09 08:00:00+08:00,147.149,149.489,146.595,147.51,5830,HSI,^HSI,18312598392379798792,2025-06-02 02:33:22.079108+08:00,壬辰,辛未,丙寅,丁亥,癸亥,戊午,癸亥,戊辰,己未,辛申,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
9,2023-11-10 08:00:00+08:00,113.837,123.077,109.033,110.959,4344,HSI,^HSI,10587376329439177128,2025-06-02 02:33:22.079108+08:00,甲辰,壬申,丁卯,己亥,癸亥,戊午,癸亥,戊辰,辛未,壬酉,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
