,time,date,stock_code
34,2025-07-21 16:48:29.552299+08:00,2025-07-21 16:48:29.552299+08:00,HSI
35,2025-07-22 16:48:29.552299+08:00,2025-07-22 16:48:29.552299+08:00,HSI
36,2025-07-23 16:48:29.552299+08:00,2025-07-23 16:48:29.552299+08:00,HSI
37,2025-07-24 16:48:29.552299+08:00,2025-07-24 16:48:29.552299+08:00,HSI
38,2025-07-25 16:48:29.552299+08:00,2025-07-25 16:48:29.552299+08:00,HSI
39,2025-07-28 16:48:29.552299+08:00,2025-07-28 16:48:29.552299+08:00,HSI
40,2025-07-29 16:48:29.552299+08:00,2025-07-29 16:48:29.552299+08:00,HSI
41,2025-07-30 16:48:29.552299+08:00,2025-07-30 16:48:29.552299+08:00,HSI
42,2025-07-31 16:48:29.552299+08:00,2025-07-31 16:48:29.552299+08:00,HSI
43,2025-08-01 16:48:29.552299+08:00,2025-08-01 16:48:29.552299+08:00,HSI
44,2025-08-04 16:48:29.552299+08:00,2025-08-04 16:48:29.552299+08:00,HSI
45,2025-08-05 16:48:29.552299+08:00,2025-08-05 16:48:29.552299+08:00,HSI
46,2025-08-06 16:48:29.552299+08:00,2025-08-06 16:48:29.552299+08:00,HSI
47,2025-08-07 16:48:29.552299+08:00,2025-08-07 16:48:29.552299+08:00,HSI
48,2025-08-08 16:48:29.552299+08:00,2025-08-08 16:48:29.552299+08:00,HSI
49,2025-08-11 16:48:29.552299+08:00,2025-08-11 16:48:29.552299+08:00,HSI
50,2025-08-12 16:48:29.552299+08:00,2025-08-12 16:48:29.552299+08:00,HSI
51,2025-08-13 16:48:29.552299+08:00,2025-08-13 16:48:29.552299+08:00,HSI
52,2025-08-14 16:48:29.552299+08:00,2025-08-14 16:48:29.552299+08:00,HSI
53,2025-08-15 16:48:29.552299+08:00,2025-08-15 16:48:29.552299+08:00,HSI
54,2025-08-18 16:48:29.552299+08:00,2025-08-18 16:48:29.552299+08:00,HSI
55,2025-08-19 16:48:29.552299+08:00,2025-08-19 16:48:29.552299+08:00,HSI
56,2025-08-20 16:48:29.552299+08:00,2025-08-20 16:48:29.552299+08:00,HSI
57,2025-08-21 16:48:29.552299+08:00,2025-08-21 16:48:29.552299+08:00,HSI
58,2025-08-22 16:48:29.552299+08:00,2025-08-22 16:48:29.552299+08:00,HSI
59,2025-08-25 16:48:29.552299+08:00,2025-08-25 16:48:29.552299+08:00,HSI
60,2025-08-26 16:48:29.552299+08:00,2025-08-26 16:48:29.552299+08:00,HSI
61,2025-08-27 16:48:29.552299+08:00,2025-08-27 16:48:29.552299+08:00,HSI
62,2025-08-28 16:48:29.552299+08:00,2025-08-28 16:48:29.552299+08:00,HSI
63,2025-08-29 16:48:29.552299+08:00,2025-08-29 16:48:29.552299+08:00,HSI
