,missing_features
0,year_stem_encoded
1,year_branch_encoded
2,month_stem_encoded
3,month_branch_encoded
4,day_stem_encoded
5,day_branch_encoded
6,hour_stem_encoded
7,hour_branch_encoded
8,year_stem_chengshen
9,year_branch_chengshen
10,month_stem_chengshen
11,month_branch_chengshen
12,day_stem_chengshen
13,day_branch_chengshen
14,hour_stem_chengshen
15,hour_branch_chengshen
16,SMA_encoded
17,EMA_encoded
18,RSI_encoded
19,MACD_encoded
20,BB_encoded
