,date,weekday
118,2025-05-21 18:40:11.572112+08:00,Wednesday
119,2025-05-22 18:40:11.572112+08:00,Thursday
120,2025-05-23 18:40:11.572112+08:00,Friday
121,2025-05-26 18:40:11.572112+08:00,Monday
122,2025-05-27 18:40:11.572112+08:00,Tuesday
123,2025-05-28 18:40:11.572112+08:00,Wednesday
124,2025-05-29 18:40:11.572112+08:00,Thursday
125,2025-05-30 18:40:11.572112+08:00,Friday
126,2025-06-02 18:40:11.572112+08:00,Monday
127,2025-06-03 18:40:11.572112+08:00,Tuesday
128,2025-06-04 18:40:11.572112+08:00,Wednesday
129,2025-06-05 18:40:11.572112+08:00,Thursday
130,2025-06-06 18:40:11.572112+08:00,Friday
131,2025-06-09 18:40:11.572112+08:00,Monday
132,2025-06-10 18:40:11.572112+08:00,Tuesday
133,2025-06-11 18:40:11.572112+08:00,Wednesday
134,2025-06-12 18:40:11.572112+08:00,Thursday
135,2025-06-13 18:40:11.572112+08:00,Friday
136,2025-06-16 18:40:11.572112+08:00,Monday
137,2025-06-17 18:40:11.572112+08:00,Tuesday
138,2025-06-18 18:40:11.572112+08:00,Wednesday
139,2025-06-19 18:40:11.572112+08:00,Thursday
140,2025-06-20 18:40:11.572112+08:00,Friday
141,2025-06-23 18:40:11.572112+08:00,Monday
142,2025-06-24 18:40:11.572112+08:00,Tuesday
143,2025-06-25 18:40:11.572112+08:00,Wednesday
144,2025-06-26 18:40:11.572112+08:00,Thursday
145,2025-06-27 18:40:11.572112+08:00,Friday
146,2025-06-30 18:40:11.572112+08:00,Monday
147,2025-07-01 18:40:11.572112+08:00,Tuesday
148,2025-07-02 18:40:11.572112+08:00,Wednesday
149,2025-07-03 18:40:11.572112+08:00,Thursday
150,2025-07-04 18:40:11.572112+08:00,Friday
151,2025-07-07 18:40:11.572112+08:00,Monday
152,2025-07-08 18:40:11.572112+08:00,Tuesday
153,2025-07-09 18:40:11.572112+08:00,Wednesday
154,2025-07-10 18:40:11.572112+08:00,Thursday
155,2025-07-11 18:40:11.572112+08:00,Friday
156,2025-07-14 18:40:11.572112+08:00,Monday
157,2025-07-15 18:40:11.572112+08:00,Tuesday
158,2025-07-16 18:40:11.572112+08:00,Wednesday
159,2025-07-17 18:40:11.572112+08:00,Thursday
160,2025-07-18 18:40:11.572112+08:00,Friday
161,2025-07-21 18:40:11.572112+08:00,Monday
162,2025-07-22 18:40:11.572112+08:00,Tuesday
163,2025-07-23 18:40:11.572112+08:00,Wednesday
164,2025-07-24 18:40:11.572112+08:00,Thursday
165,2025-07-25 18:40:11.572112+08:00,Friday
166,2025-07-28 18:40:11.572112+08:00,Monday
167,2025-07-29 18:40:11.572112+08:00,Tuesday
168,2025-07-30 18:40:11.572112+08:00,Wednesday
169,2025-07-31 18:40:11.572112+08:00,Thursday
170,2025-08-01 18:40:11.572112+08:00,Friday
171,2025-08-04 18:40:11.572112+08:00,Monday
172,2025-08-05 18:40:11.572112+08:00,Tuesday
173,2025-08-06 18:40:11.572112+08:00,Wednesday
174,2025-08-07 18:40:11.572112+08:00,Thursday
175,2025-08-08 18:40:11.572112+08:00,Friday
176,2025-08-11 18:40:11.572112+08:00,Monday
177,2025-08-12 18:40:11.572112+08:00,Tuesday
178,2025-08-13 18:40:11.572112+08:00,Wednesday
179,2025-08-14 18:40:11.572112+08:00,Thursday
180,2025-08-15 18:40:11.572112+08:00,Friday
181,2025-08-18 18:40:11.572112+08:00,Monday
182,2025-08-19 18:40:11.572112+08:00,Tuesday
183,2025-08-20 18:40:11.572112+08:00,Wednesday
184,2025-08-21 18:40:11.572112+08:00,Thursday
185,2025-08-22 18:40:11.572112+08:00,Friday
186,2025-08-25 18:40:11.572112+08:00,Monday
187,2025-08-26 18:40:11.572112+08:00,Tuesday
188,2025-08-27 18:40:11.572112+08:00,Wednesday
189,2025-08-28 18:40:11.572112+08:00,Thursday
190,2025-08-29 18:40:11.572112+08:00,Friday
191,2025-09-01 18:40:11.572112+08:00,Monday
