,feature,importance
68,current_year_pillar_earthly_cos,0.466099
5,current_year_pillar,0.12867
11,current_wuxi_year,0.0539606
139,cs_base_day_current_year,0.0395434
31,dayofyear,0.0360543
69,current_year_pillar_minus_heavenly,0.0305178
65,current_year_pillar_heavenly_sin,0.0253667
67,current_year_pillar_earthly_sin,0.0238153
145,cs_base_hour_minus_current_year,0.0209365
63,current_year_pillar_heavenly,0.0208703
71,current_year_pillar_minus_heavenly_sin,0.018109
157,cs_base_year_current_year,0.0165754
32,weekofyear,0.0159294
151,cs_base_month_current_year,0.0146064
133,cs_base_hour_current_year,0.0124286
64,current_year_pillar_earthly,0.0110263
163,cs_base_month_minus_current_year,0.0100644
6,current_year_pillar_minus,0.00948024
74,current_year_pillar_minus_earthly_cos,0.00824641
20,month,0.00790693
70,current_year_pillar_minus_earthly,0.0032144
7,current_month_pillar_minus,0.00180933
73,current_year_pillar_minus_earthly_sin,0.00163787
21,day,0.00149785
75,current_month_pillar_minus_heavenly,0.00125088
150,cs_base_month_current_month,0.00111166
138,cs_base_day_current_month,0.00101448
80,current_month_pillar_minus_earthly_cos,0.000963263
158,cs_base_year_current_month_minus,0.000948983
134,cs_base_hour_current_month_minus,0.000918214
10,current_wuxi_month,0.000796566
58,current_month_pillar_earthly,0.000746026
60,current_month_pillar_heavenly_cos,0.000741381
132,cs_base_hour_current_month,0.000733314
4,current_month_pillar,0.000719702
78,current_month_pillar_minus_heavenly_cos,0.000646821
144,cs_base_hour_minus_current_month,0.000634901
156,cs_base_year_current_month,0.000632332
24,quarter,0.000627337
164,cs_base_month_minus_current_month_minus,0.000573784
152,cs_base_month_current_month_minus,0.000539031
76,current_month_pillar_minus_earthly,0.000489603
140,cs_base_day_current_month_minus,0.000471333
57,current_month_pillar_heavenly,0.00046105
79,current_month_pillar_minus_earthly_sin,0.000447046
162,cs_base_month_minus_current_month,0.000445076
62,current_month_pillar_earthly_cos,0.000442469
61,current_month_pillar_earthly_sin,0.000373322
146,cs_base_hour_minus_current_month_minus,0.00033078
2,current_day_pillar_minus,0.000238327
66,current_year_pillar_heavenly_cos,0.000237661
77,current_month_pillar_minus_heavenly_sin,0.00020348
59,current_month_pillar_heavenly_sin,0.000189378
43,current_day_pillar_earthly_sin,0.000187376
50,current_day_pillar_minus_earthly_cos,0.00017177
49,current_day_pillar_minus_earthly_sin,0.000161288
136,cs_base_day_current_day,0.000152269
155,cs_base_year_current_hour_minus,0.000152035
1,current_day_pillar,0.000148434
44,current_day_pillar_earthly_cos,0.00014219
55,current_hour_pillar_minus_earthly_sin,0.000139957
40,current_day_pillar_earthly,0.000139853
48,current_day_pillar_minus_heavenly_cos,0.000138624
72,current_year_pillar_minus_heavenly_cos,0.000134834
46,current_day_pillar_minus_earthly,0.000132962
142,cs_base_hour_minus_current_day,0.000132714
42,current_day_pillar_heavenly_cos,0.000132423
130,cs_base_hour_current_day,0.000131215
9,current_wuxi_day,0.000123907
154,cs_base_year_current_day,0.00011897
160,cs_base_month_minus_current_day,0.000111938
23,dayofweek,0.000106298
149,cs_base_month_current_hour_minus,0.000102376
148,cs_base_month_current_day,9.81998e-05
45,current_day_pillar_minus_heavenly,9.18303e-05
39,current_day_pillar_heavenly,7.19786e-05
