,target
5537,25693
11315,17696
1193,25842
45,26603
976,28852
13201,22158
6081,25493
1578,26482
10332,17229
12466,20102
2963,25052
6045,25184
5306,27516
1584,26478
9693,19482
11550,18337
12839,23459
12581,19447
9590,18610
1975,27711
3341,24425
13402,23186
5424,26205
315,28982
11499,18374
5963,25300
6131,24746
11722,17538
10458,17030
3275,24807
2840,23924
1624,26800
11745,17910
7375,22294
7606,20192
10840,15556
2315,27354
6951,21436
4226,27813
4993,28106
1071,28550
8925,19230
5572,25156
12780,22188
7030,20907
2404,26078
11133,16590
3035,24117
8673,21725
409,29433
4918,28186
37,26133
3963,26498
576,29961
9976,18110
10297,18010
2973,25004
4834,28623
8570,21805
713,27622
7601,20010
10393,17749
4220,27692
1087,28531
6145,23841
2335,27228
5460,26360
3344,24310
5553,25237
1454,26417
6862,22201
4401,29132
9527,18990
881,28121
2906,22898
1710,27564
13139,21493
10191,17758
3833,24110
11737,17691
13299,23368
2245,27228
9289,19587
12538,20104
6363,23197
6532,24493
6310,23202
8250,17737
7322,21148
239,28350
7711,19627
10417,17621
11612,18117
1597,26907
8644,22044
1097,28618
394,29255
9665,19097
1901,26062
3710,24227
3519,24519
12094,17479
1180,26055
7223,20944
1911,26266
4265,28236
8772,20872
3006,24070
2214,26200
9898,18467
2781,23903
10692,16346
6931,21303
8544,21428
4609,29289
4028,26483
6586,24393
2879,22854
9773,19015
5466,26126
5491,26493
8593,21595
12227,18341
3540,24449
7770,19781
8075,16168
3411,25115
12548,19798
1691,26846
9481,19570
4231,27485
9585,18364
6690,22420
123,27097
9730,19892
1952,27038
12004,16974
7231,21287
4351,29420
6220,24126
12180,17442
4580,28672
4540,28929
3613,23806
906,28422
5746,24032
12439,20703
3118,25275
11182,16773
12963,23908
4884,29101
3794,24919
10759,15274
13150,21423
7530,20465
1891,26409
4007,26909
5657,25956
8324,18784
295,28785
5038,28910
1046,28549
3684,23835
12456,20250
10565,16541
1785,26357
10290,17735
286,28818
6560,24835
4701,28202
1758,27033
5331,28153
1284,25380
4639,28950
13273,22680
6440,24234
12552,19635
4509,29760
7517,20678
10469,16843
4392,29143
3033,24359
4026,26644
9843,17797
549,29700
11350,18585
3755,24594
5922,26094
10773,16175
1731,27600
10215,17081
5062,28951
10087,17980
10024,17878
6522,23862
5502,26552
4291,28836
2648,24430
2586,22954
6562,24949
