,target
7191,20910
11934,18060
12116,17407
7717,20086
2874,23841
4447,28579
2392,26694
8559,19638
2484,25290
7472,21405
7284,20612
7105,21024
2046,27850
4118,26705
1254,26346
952,28932
9450,19620
10442,16986
3275,25247
4509,29241
6896,18315
9016,20419
1718,27167
8274,15519
4985,28529
11477,16266
5206,28744
3780,24053
9554,18195
4963,29011
2791,24736
3527,25367
3522,25046
2564,21843
5489,27307
13025,21576
3433,25196
5219,28673
1056,28471
1146,27503
8439,17626
1937,26240
11633,19225
1031,28564
10672,17030
3031,25022
6291,23748
4742,28938
11413,16773
2543,21841
96,27030
2474,24753
2684,24522
2522,22956
12333,17842
9188,20183
2239,26142
3705,23279
6932,21235
10695,16293
1042,28622
2389,26783
12897,19426
1592,26471
2391,26633
11423,16882
7467,21195
3424,25320
6560,24190
12879,18903
5577,26167
4981,28613
13082,22940
3,25063
8156,17149
10033,18364
11180,16461
10848,16809
2826,23890
6109,24941
11702,18631
3526,25618
4629,29471
439,28602
3891,24490
6148,24476
10347,17857
4609,28972
3647,24624
5561,26369
5090,28454
12718,20473
88,27008
11815,18345
2576,23195
5597,26433
8483,18946
12295,17417
12425,17276
274,28890
1281,25974
8149,17550
10510,17932
10546,17258
7654,20814
4477,29160
9676,19352
10194,18066
11973,17566
9252,20388
13153,23196
7247,19803
6929,21445
415,29322
3082,24359
2250,26274
8698,21058
9166,19755
5019,28462
710,27687
5061,27799
10892,16324
407,29524
8184,16588
11545,17736
10920,16262
5411,27626
3710,23056
13056,22667
4412,30030
9037,20692
5114,28171
11806,18377
2796,23336
9141,19339
4081,26956
7958,18998
1523,25983
4281,27478
1110,28388
10895,16189
1406,27042
7861,19621
12825,19827
10288,17556
6927,22137
10642,17562
8485,19012
11107,15897
2559,21975
4679,28930
12236,17114
633,29863
9318,20017
4667,28775
2168,28982
4881,28585
7562,21385
131,27157
3660,24394
3833,24502
4746,28939
10439,17141
774,26933
11891,17904
13134,23632
1631,26677
2333,27955
2884,23794
8807,22762
2540,21027
469,29076
5508,25272
2980,23983
10538,17551
12123,17062
11611,18519
12972,19975
5860,23990
6921,21035
6922,21487
598,29397
13269,24545
563,30189
1905,26494
7131,19739
4250,26421
9014,20530
1576,25923
10044,17797
8585,19655
6567,24144
11205,16376
4170,26341
12789,20114
7301,19990
79,26793
7890,20105
9364,19889
2372,27200
11403,16778
2899,24283
9933,19527
7735,19526
11874,17927
8796,22617
4785,28256
12921,19940
6431,23211
2091,28181
1904,26482
8721,21617
2837,24607
4984,28542
2498,24075
1851,26529
5727,25465
8330,16618
2588,23180
7499,21652
6418,23062
8875,21287
1145,27486
12486,18974
4638,28945
4092,26610
10299,17274
9192,20303
8247,15063
852,27065
1494,25983
4149,26546
7800,20243
2464,25698
3305,24633
8144,17736
1805,26391
2288,27177
8047,18460
7502,21596
5771,26133
188,27951
1123,28135
2974,23536
4400,29863
5816,25878
11754,18418
6775,23395
10349,17979
1594,26482
7159,20083
10481,17086
500,29915
5321,29225
10381,17684
13059,22616
4122,26914
2231,26417
7091,20970
2633,23269
3800,24606
11642,19087
9270,20368
590,29751
4747,28930
6341,24054
4863,28680
9515,19070
2075,28647
9713,19185
4201,26562
4526,29843
5572,26245
777,27018
10646,17485
2347,27386
5437,27925
1194,26160
9045,20884
8778,21611
9666,19912
3353,24510
2304,27621
4129,26516
6794,22369
8374,17795
1113,28453
656,28786
8644,20112
5386,27383
10141,18465
12140,17254
13188,24377
9941,19578
5042,27827
2813,24053
4414,30088
565,30109
4231,26189
1803,26308
7914,19453
4007,26291
4190,26441
840,27074
1642,26800
6951,21859
3288,25106
12631,19462
10675,17006
2666,23993
7712,20556
46,26577
1149,26806
5822,25396
2943,23205
11019,16067
8797,22661
765,27228
6363,23735
4676,28804
1566,25753
7194,20659
5246,28563
7501,21630
2620,23550
7258,20613
5153,28986
2613,23328
8324,16505
3437,25096
11512,16878
6627,24287
11569,18272
1011,28340
4561,30682
4084,26440
7442,21254
6440,23289
4560,30676
2685,24523
7334,20672
3492,25537
11092,15887
3100,24432
7748,19932
9613,19369
3499,25493
9463,19834
11870,18091
12553,22581
11847,18113
11431,17177
11468,16289
6537,24468
9575,19007
1345,25491
1444,26789
10551,17292
5362,28086
10103,18519
9593,19254
3679,23704
2422,25803
10443,17029
2732,23731
80,26798
6672,24408
12189,16798
7497,21530
335,29052
12890,19294
