,time,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code,uuid,last_modified_date
0,2025-04-21 09:11:18.594612+08:00,辛巳,庚申,乙丑,丙戌,乙未,乙巳,庚子,庚寅,辛巳,庚酉,丁未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,1924807847323297442,2025-04-18 01:11:20.418597+08:00
1,2025-04-22 09:11:18.594612+08:00,癸巳,辛酉,丙寅,戊戌,乙未,乙巳,庚子,庚寅,癸巳,辛戌,丁未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,6531579574820176740,2025-04-18 01:11:20.418597+08:00
2,2025-04-23 09:11:18.594612+08:00,乙巳,壬戌,丁卯,庚戌,乙未,乙巳,庚子,庚寅,乙巳,壬亥,戊未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,9167353833206411843,2025-04-18 01:11:20.418597+08:00
3,2025-04-24 09:11:18.594612+08:00,丁巳,癸亥,戊辰,壬戌,乙未,乙巳,庚子,庚寅,丁巳,癸子,戊未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,17894635277059707735,2025-04-18 01:11:20.418597+08:00
4,2025-04-25 09:11:18.594612+08:00,己巳,甲子,己巳,甲戌,乙未,乙巳,庚子,庚寅,己巳,甲丑,戊未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,2949483673483699803,2025-04-18 01:11:20.418597+08:00
5,2025-04-28 09:11:18.594612+08:00,乙巳,丁卯,壬申,庚戌,乙未,乙巳,庚子,庚寅,乙巳,丁辰,癸未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,12415829142745635206,2025-04-18 01:11:20.418597+08:00
6,2025-04-29 09:11:18.594612+08:00,丁巳,戊辰,癸酉,壬戌,乙未,乙巳,庚子,庚寅,丁巳,戊巳,癸未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,9627662364352670797,2025-04-18 01:11:20.418597+08:00
7,2025-04-30 09:11:18.594612+08:00,己巳,己巳,甲戌,甲戌,乙未,乙巳,庚子,庚寅,己巳,己午,甲未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,9565328701020022390,2025-04-18 01:11:20.418597+08:00
8,2025-05-01 09:11:18.594612+08:00,辛巳,庚午,乙亥,丙戌,乙未,乙巳,庚子,庚寅,辛巳,庚未,甲未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,4697937878307802904,2025-04-18 01:11:20.418597+08:00
9,2025-05-02 09:11:18.594612+08:00,癸巳,辛未,丙子,戊戌,乙未,乙巳,庚子,庚寅,癸巳,辛申,甲未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,9896993659827108695,2025-04-18 01:11:20.418597+08:00
10,2025-05-05 09:11:18.594612+08:00,己巳,甲戌,己卯,甲戌,乙未,乙巳,庚子,庚寅,己巳,甲亥,己未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11009817565758632754,2025-04-18 01:11:20.418597+08:00
11,2025-05-06 09:11:18.594612+08:00,辛巳,乙亥,庚辰,丙戌,辛巳,乙巳,庚子,丙子,辛巳,乙子,辛巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,14930019109527177351,2025-04-18 01:11:20.418597+08:00
12,2025-05-07 09:11:18.594612+08:00,癸巳,丙子,辛巳,戊戌,辛巳,乙巳,庚子,丙子,癸巳,丙丑,辛巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,5795679361612815281,2025-04-18 01:11:20.418597+08:00
13,2025-05-08 09:11:18.594612+08:00,乙巳,丁丑,壬午,庚戌,辛巳,乙巳,庚子,丙子,乙巳,丁寅,辛巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,13508539492319056555,2025-04-18 01:11:20.418597+08:00
14,2025-05-09 09:11:18.594612+08:00,丁巳,戊寅,癸未,壬戌,辛巳,乙巳,庚子,丙子,丁巳,戊卯,丙巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,10521827368474026095,2025-04-18 01:11:20.418597+08:00
15,2025-05-12 09:11:18.594612+08:00,癸巳,辛巳,丙戌,戊戌,辛巳,乙巳,庚子,丙子,癸巳,辛午,丁巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,8161842270914017278,2025-04-18 01:11:20.418597+08:00
16,2025-05-13 09:11:18.594612+08:00,乙巳,壬午,丁亥,庚戌,辛巳,乙巳,庚子,丙子,乙巳,壬未,丁巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,15285548419551065997,2025-04-18 01:11:20.418597+08:00
