,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date
14,2025-05-16 21:11:26.195728+08:00,2025-05-16 21:11:26.195728+08:00,HSI,丁亥,庚子,乙巳,壬辰,辛巳,乙巳,庚子,丙子,丁亥,庚丑,壬巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,5602036931034154313,2025-04-25 13:11:28.579818+08:00
15,2025-05-19 21:11:26.195728+08:00,2025-05-19 21:11:26.195728+08:00,HSI,癸亥,癸卯,戊申,戊辰,辛巳,乙巳,庚子,丙子,癸亥,癸辰,癸巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,1034018173144181771,2025-04-25 13:11:28.579818+08:00
16,2025-05-20 21:11:26.195728+08:00,2025-05-20 21:11:26.195728+08:00,HSI,乙亥,甲辰,己酉,庚辰,辛巳,乙巳,庚子,丙子,乙亥,甲巳,癸巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11167930952577109874,2025-04-25 13:11:28.579818+08:00
17,2025-05-21 21:11:26.195728+08:00,2025-05-21 21:11:26.195728+08:00,HSI,丁亥,乙巳,庚戌,壬辰,丙申,乙巳,庚子,辛卯,丁亥,乙午,戊申,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,4346399781701522170,2025-04-25 13:11:28.579818+08:00
18,2025-05-22 21:11:26.195728+08:00,2025-05-22 21:11:26.195728+08:00,HSI,己亥,丙午,辛亥,甲辰,丙申,乙巳,庚子,辛卯,己亥,丙未,戊申,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,13867357164211597988,2025-04-25 13:11:28.579818+08:00
19,2025-05-23 21:11:26.195728+08:00,2025-05-23 21:11:26.195728+08:00,HSI,辛亥,丁未,壬子,丙辰,丙申,乙巳,庚子,辛卯,辛亥,丁申,戊申,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11949062430703217833,2025-04-25 13:11:28.579818+08:00
20,2025-05-26 21:11:26.195728+08:00,2025-05-26 21:11:26.195728+08:00,HSI,丁亥,庚戌,乙卯,壬辰,丙申,乙巳,庚子,辛卯,丁亥,庚亥,己申,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,8607120124776048396,2025-04-25 13:11:28.579818+08:00
21,2025-05-27 21:11:26.195728+08:00,2025-05-27 21:11:26.195728+08:00,HSI,己亥,辛亥,丙辰,甲辰,丙申,乙巳,庚子,辛卯,己亥,辛子,甲申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,6182956801516646201,2025-04-25 13:11:28.579818+08:00
22,2025-05-28 21:11:26.195728+08:00,2025-05-28 21:11:26.195728+08:00,HSI,辛亥,壬子,丁巳,丙辰,丙申,乙巳,庚子,辛卯,辛亥,壬丑,甲申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,17245801424339320553,2025-04-25 13:11:28.579818+08:00
23,2025-05-29 21:11:26.195728+08:00,2025-05-29 21:11:26.195728+08:00,HSI,癸亥,癸丑,戊午,戊辰,丙申,乙巳,庚子,辛卯,癸亥,癸寅,甲申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,8203223151794789202,2025-04-25 13:11:28.579818+08:00
