,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
cs_base_year_current_hour_minus,0.194185,-0.00116189,-0.888229,-0.000666322,0.0714635,0.000386548,-0.238153,0.00108651,0.655905,0.00566101,-0.0454696,0.00439985,-0.127684,0.000720809,-0.602187,-0.000919803,0.0253187,0.00223021,-0.153464,0.000361261,-0.451994,0.00403263,0.113254,-0.00418678,-0.132619,0.000220105,1,-0.00419254,-0.153175,0.00232352,0.139437,-0.000262234,0.442633,0.00382741,-0.0226341,0.000799356,-0.0111188
cs_base_year_current_month,0.00290667,-0.00788183,-0.000861082,-0.874411,-0.0596987,-0.0470822,-0.00362279,0.0101621,-0.000471805,0.579146,0.0381323,0.0400602,0.00373776,-0.00381014,0.0025954,-0.464926,-0.0546273,-0.179054,0.000451105,0.000825993,0.00982606,-0.468023,0.0294005,-0.15696,-0.000999352,0.00551088,-0.00419254,1,0.0282723,-0.023648,-0.00356556,0.00322251,-0.00310019,0.294283,0.0176381,0.226275,-0.0449409
cs_base_year_current_year,-0.00559711,0.00883139,0.0658749,-0.037146,-0.871431,-0.00313211,0.00498712,-0.00385683,-0.0614092,0.0242583,0.630852,-0.00136783,-0.00487575,0.00429814,0.0805014,-0.0422127,-0.549106,0.0127663,-0.003099,-0.0059116,0.145044,-0.0421931,-0.464002,-0.0174319,0.00403645,-0.00288534,-0.153175,0.0282723,1,0.0298677,0.00383857,-0.000613533,-0.069903,0.0410366,0.416436,-0.00839634,0.00292929
cs_base_year_current_month_minus,-0.00713394,-0.00771166,-0.00180446,-0.0299878,-0.0059207,-0.87447,0.00495321,-0.00428755,0.00420305,0.0846151,0.027973,0.588055,-0.00648778,-0.00493343,-0.00296578,-0.159272,0.00490607,-0.509879,-0.00448655,0.00121802,-0.00497043,-0.184812,-0.0470165,-0.505503,0.00562047,0.00767652,0.00232352,-0.023648,0.0298677,1,0.00458898,-0.00353889,0.00417068,0.23301,0.0133101,0.347604,0.0132969
cs_base_month_minus_current_hour,-0.413972,-0.00102577,-0.164847,-0.000156245,0.000146786,-0.00234959,0.551519,-0.000592979,0.257384,0.00235491,-0.00651488,0.00145363,-0.888084,0.00125611,-0.0688184,-0.00160575,-0.00219156,-0.000971412,-0.675647,0.00107417,0.0720174,0.00147355,-0.0040077,-0.00280547,0.293794,0.000917064,0.139437,-0.00356556,0.00383857,0.00458898,1,-0.0016356,0.0895773,0.00380406,-0.00261442,0.000443523,0.00994356
cs_base_month_minus_current_day,0.0018482,-0.489809,0.00115788,-0.00394698,0.00192473,0.0101576,-0.000561972,0.665939,-0.00113125,0.00621189,-0.00917165,-0.00762407,0.00248181,-0.873602,0.00214757,-0.0065458,0.00348906,0.0106281,0.00263981,-0.693734,0.00123745,-0.00800555,0.0043487,-0.00168777,-0.00188671,0.324445,-0.000262234,0.00322251,-0.000613533,-0.00353889,-0.0016356,1,-0.0023977,0.00845632,-0.00926424,-0.00718713,0.00440445
cs_base_month_minus_current_hour_minus,-0.111167,0.00393259,-0.568636,0.000538376,0.0329557,-0.00182457,0.108368,-0.00237695,0.697782,0.00352988,-0.0266162,0.00548026,-0.0909994,0.00349351,-0.880693,-0.00023436,0.0112023,-0.000524715,-0.399853,0.00242239,-0.707064,0.00286984,0.0543359,-0.00494399,0.247282,-0.00430493,0.442633,-0.00310019,-0.069903,0.00417068,0.0895773,-0.0023977,1,0.00231811,-0.0139059,0.0022809,7.11138e-05
cs_base_month_minus_current_month,-0.00455136,-5.01111e-05,-0.000428104,-0.460947,0.00942461,-0.171914,0.00397888,0.0125299,0.00342746,0.654254,0.0147551,0.126719,-0.00458581,-0.000119191,-0.000434704,-0.874062,0.0470135,-0.0208378,-0.000740137,-0.00568965,-0.00664409,-0.688367,-0.0631575,0.00448489,0.00233759,-0.00382637,0.00382741,0.294283,0.0410366,0.23301,0.00380406,0.00845632,0.00231811,1,-0.0180299,-0.0317165,0.0220699
cs_base_month_minus_current_year,0.00465487,0.0168319,0.0076296,-0.000225344,-0.498522,-0.0138785,-0.0039889,-0.00981224,-0.00856599,-0.0253504,0.73983,0.0113615,0.00369562,0.0149543,0.0146529,0.00183951,-0.848089,-0.0049488,0.00040267,0.00724093,0.0287694,-0.00742752,-0.742656,0.0052623,-0.00255307,-0.0131429,-0.0226341,0.0176381,0.416436,0.0133101,-0.00261442,-0.00926424,-0.0139059,-0.0180299,1,0.0127248,-0.048424
cs_base_month_minus_current_month_minus,-0.0005529,0.00483206,-0.00225685,-0.164189,-0.0126368,-0.514509,-0.000591468,-0.00421587,0.0014486,0.0944023,-0.00892766,0.667824,-0.00108566,0.00265542,-0.00257705,-0.0316877,-0.0250167,-0.87492,-0.00268495,0.000623867,-0.000152076,-0.0116887,0.0280576,-0.692372,0.00142118,0.000815979,0.000799356,0.226275,-0.00839634,0.347604,0.000443523,-0.00718713,0.0022809,-0.0317165,0.0127248,1,-0.0611525
target,-0.0144116,-0.00182575,0.00986717,0.0143578,0.210894,0.0417482,0.0129015,0.00553694,-0.00157414,0.00999,-0.0960057,0.0184346,-0.012799,-0.00206817,0.00573833,-0.00779689,0.247981,0.0870215,-0.0073329,0.00509582,-0.00438745,0.0124977,-0.293381,-0.0234158,0.0101257,-0.00508048,-0.0111188,-0.0449409,0.00292929,0.0132969,0.00994356,0.00440445,7.11138e-05,0.0220699,-0.048424,-0.0611525,1
