,time,date,stock_code
44,2025-02-06 05:28:24.853174+08:00,2025-02-06 05:28:24.853174+08:00,HSI
45,2025-02-07 05:28:24.853174+08:00,2025-02-07 05:28:24.853174+08:00,HSI
46,2025-02-10 05:28:24.853174+08:00,2025-02-10 05:28:24.853174+08:00,HSI
47,2025-02-11 05:28:24.853174+08:00,2025-02-11 05:28:24.853174+08:00,HSI
48,2025-02-12 05:28:24.853174+08:00,2025-02-12 05:28:24.853174+08:00,HSI
49,2025-02-13 05:28:24.853174+08:00,2025-02-13 05:28:24.853174+08:00,HSI
50,2025-02-14 05:28:24.853174+08:00,2025-02-14 05:28:24.853174+08:00,HSI
51,2025-02-17 05:28:24.853174+08:00,2025-02-17 05:28:24.853174+08:00,HSI
52,2025-02-18 05:28:24.853174+08:00,2025-02-18 05:28:24.853174+08:00,HSI
53,2025-02-19 05:28:24.853174+08:00,2025-02-19 05:28:24.853174+08:00,HSI
54,2025-02-20 05:28:24.853174+08:00,2025-02-20 05:28:24.853174+08:00,HSI
55,2025-02-21 05:28:24.853174+08:00,2025-02-21 05:28:24.853174+08:00,HSI
56,2025-02-24 05:28:24.853174+08:00,2025-02-24 05:28:24.853174+08:00,HSI
57,2025-02-25 05:28:24.853174+08:00,2025-02-25 05:28:24.853174+08:00,HSI
58,2025-02-26 05:28:24.853174+08:00,2025-02-26 05:28:24.853174+08:00,HSI
59,2025-02-27 05:28:24.853174+08:00,2025-02-27 05:28:24.853174+08:00,HSI
60,2025-02-28 05:28:24.853174+08:00,2025-02-28 05:28:24.853174+08:00,HSI
61,2025-03-03 05:28:24.853174+08:00,2025-03-03 05:28:24.853174+08:00,HSI
62,2025-03-04 05:28:24.853174+08:00,2025-03-04 05:28:24.853174+08:00,HSI
63,2025-03-05 05:28:24.853174+08:00,2025-03-05 05:28:24.853174+08:00,HSI
64,2025-03-06 05:28:24.853174+08:00,2025-03-06 05:28:24.853174+08:00,HSI
65,2025-03-07 05:28:24.853174+08:00,2025-03-07 05:28:24.853174+08:00,HSI
66,2025-03-10 05:28:24.853174+08:00,2025-03-10 05:28:24.853174+08:00,HSI
67,2025-03-11 05:28:24.853174+08:00,2025-03-11 05:28:24.853174+08:00,HSI
68,2025-03-12 05:28:24.853174+08:00,2025-03-12 05:28:24.853174+08:00,HSI
69,2025-03-13 05:28:24.853174+08:00,2025-03-13 05:28:24.853174+08:00,HSI
70,2025-03-14 05:28:24.853174+08:00,2025-03-14 05:28:24.853174+08:00,HSI
71,2025-03-17 05:28:24.853174+08:00,2025-03-17 05:28:24.853174+08:00,HSI
72,2025-03-18 05:28:24.853174+08:00,2025-03-18 05:28:24.853174+08:00,HSI
73,2025-03-19 05:28:24.853174+08:00,2025-03-19 05:28:24.853174+08:00,HSI
74,2025-03-20 05:28:24.853174+08:00,2025-03-20 05:28:24.853174+08:00,HSI
75,2025-03-21 05:28:24.853174+08:00,2025-03-21 05:28:24.853174+08:00,HSI
76,2025-03-24 05:28:24.853174+08:00,2025-03-24 05:28:24.853174+08:00,HSI
77,2025-03-25 05:28:24.853174+08:00,2025-03-25 05:28:24.853174+08:00,HSI
78,2025-03-26 05:28:24.853174+08:00,2025-03-26 05:28:24.853174+08:00,HSI
79,2025-03-27 05:28:24.853174+08:00,2025-03-27 05:28:24.853174+08:00,HSI
80,2025-03-28 05:28:24.853174+08:00,2025-03-28 05:28:24.853174+08:00,HSI
81,2025-03-31 05:28:24.853174+08:00,2025-03-31 05:28:24.853174+08:00,HSI
82,2025-04-01 05:28:24.853174+08:00,2025-04-01 05:28:24.853174+08:00,HSI
83,2025-04-02 05:28:24.853174+08:00,2025-04-02 05:28:24.853174+08:00,HSI
84,2025-04-03 05:28:24.853174+08:00,2025-04-03 05:28:24.853174+08:00,HSI
85,2025-04-04 05:28:24.853174+08:00,2025-04-04 05:28:24.853174+08:00,HSI
86,2025-04-07 05:28:24.853174+08:00,2025-04-07 05:28:24.853174+08:00,HSI
87,2025-04-08 05:28:24.853174+08:00,2025-04-08 05:28:24.853174+08:00,HSI
88,2025-04-09 05:28:24.853174+08:00,2025-04-09 05:28:24.853174+08:00,HSI
89,2025-04-10 05:28:24.853174+08:00,2025-04-10 05:28:24.853174+08:00,HSI
90,2025-04-11 05:28:24.853174+08:00,2025-04-11 05:28:24.853174+08:00,HSI
91,2025-04-14 05:28:24.853174+08:00,2025-04-14 05:28:24.853174+08:00,HSI
92,2025-04-15 05:28:24.853174+08:00,2025-04-15 05:28:24.853174+08:00,HSI
93,2025-04-16 05:28:24.853174+08:00,2025-04-16 05:28:24.853174+08:00,HSI
94,2025-04-17 05:28:24.853174+08:00,2025-04-17 05:28:24.853174+08:00,HSI
95,2025-04-18 05:28:24.853174+08:00,2025-04-18 05:28:24.853174+08:00,HSI
96,2025-04-21 05:28:24.853174+08:00,2025-04-21 05:28:24.853174+08:00,HSI
97,2025-04-22 05:28:24.853174+08:00,2025-04-22 05:28:24.853174+08:00,HSI
98,2025-04-23 05:28:24.853174+08:00,2025-04-23 05:28:24.853174+08:00,HSI
99,2025-04-24 05:28:24.853174+08:00,2025-04-24 05:28:24.853174+08:00,HSI
100,2025-04-25 05:28:24.853174+08:00,2025-04-25 05:28:24.853174+08:00,HSI
101,2025-04-28 05:28:24.853174+08:00,2025-04-28 05:28:24.853174+08:00,HSI
102,2025-04-29 05:28:24.853174+08:00,2025-04-29 05:28:24.853174+08:00,HSI
103,2025-04-30 05:28:24.853174+08:00,2025-04-30 05:28:24.853174+08:00,HSI
