,target
6013,26125
11005,16234
3094,24385
5677,25084
3877,24722
1190,25995
9745,19221
6840,21106
4682,29341
4073,26767
10925,16323
5735,25677
3784,24216
12758,19873
12515,20715
1506,25988
6162,25312
11091,15863
5114,28171
7897,20175
9360,19956
5380,27902
12490,19453
5683,25470
794,26809
730,27611
8113,17199
6848,20899
5664,25308
9562,18795
10557,17583
2626,22954
6515,23672
4889,28737
1745,27725
3745,23789
10485,17157
12644,19575
12497,19308
2709,23874
4952,28869
6967,21363
2675,24082
1199,25815
10324,17303
11172,16622
7665,20663
6148,24476
3126,24404
9485,19506
11538,17629
1889,26868
11572,18340
9841,18782
12405,17253
32,25945
5885,24080
10360,18284
3837,24575
8072,17877
1336,25530
5674,25347
7171,20731
10964,15359
6923,21425
12533,22749
9161,19947
1610,26687
939,28553
5778,26217
3780,24053
4562,30752
5549,25914
9452,19959
745,27306
4954,28914
1486,26092
2877,23510
605,29497
1741,27611
7625,20288
1533,25872
2651,23740
8214,16710
7017,22124
11087,16002
3002,24158
1821,26594
7800,20243
1330,25768
10420,17069
5220,28710
957,28909
2110,28149
8810,22534
11215,16586
3130,24483
6831,21785
4521,29941
12589,21223
1660,26652
1026,28476
10381,17684
3413,24773
1247,25664
11427,16937
9611,19387
655,28911
623,29637
762,27235
5834,24995
11103,15925
11658,19573
2199,28318
6496,22836
12516,20687
4807,28647
7944,19116
5508,25272
9182,19784
11126,16374
9781,18424
3592,24285
7877,19269
8211,16700
1405,27100
2625,22961
7627,20247
3546,25096
12286,17513
3233,25552
3931,25524
2928,22687
1746,27758
5727,25465
2873,23679
10697,16331
7452,20854
2457,26483
4802,28525
5872,24463
76,26626
5639,25958
12211,16929
4767,27935
10254,17826
2698,23834
9783,18636
5044,27888
7176,20880
9058,20067
2260,26919
1775,27159
5652,25775
7173,21041
93,26865
8177,16486
8718,21496
5418,27754
6118,24933
12689,19848
6651,24584
714,27395
3181,26490
1076,28550
8344,16234
4237,26312
9350,19698
2015,27917
11316,16577
1885,27082
6598,24946
10626,17876
11331,16951
8644,20112
3305,24633
3853,24829
1488,26141
5790,26106
10223,17999
8544,19891
10864,16586
4220,26345
2759,23834
5494,26579
12593,21191
1437,26725
1233,25380
6203,25263
185,27692
3355,24307
4918,28611
10891,16359
2465,25729
9037,20692
5257,28394
2067,28309
1297,25660
5465,27269
9140,19320
7919,19824
449,28725
3585,24609
2960,22743
8193,16427
3855,24816
9389,19922
12656,19817
9354,19769
381,28823
4245,26410
1155,26756
7211,19475
5816,25878
8144,17736
1728,27614
3469,25115
8999,20059
9191,20223
2425,26232
2727,24300
11665,19636
9298,20430
1253,26313
4335,28256
5582,26010
9818,19392
2503,22875
5612,26533
9015,20460
12751,19854
8552,19442
8524,19165
6438,23224
4429,29420
1612,26729
7514,22015
2191,27930
1729,27619
12171,17091
8207,16879
5022,28485
6997,22179
8366,17542
5627,26332
9606,19273
530,29930
9233,20333
3526,25618
9295,20587
12531,22524
3958,26194
11265,16604
9001,19904
3872,24739
3946,25876
8923,20818
