,target
1621,17730
1839,17772
2801,22849
1567,18302.2
2827,24377
1702,16900
1009,16343
360,17065
2710,22972
2043,21430
3000,22793
2684,22241
1419,17894
1779,17128
344,16657
986,16363
1432,18411
1941,17177
1835,17634
1681,17392
113,17593
1345,18407
1142,18955
2111,21223
1198,19199
85,17492
3038,20643
668,16614
1014,16184
128,17749
2517,18822
2506,19108
891,16421
2369,19934
307,16501
383,16676
150,17862
3135,21890
2849,23856
426,16159
494,15077
1207,19127
1780,17122
1208,19045
2578,19949
2335,20708
1422,18025
1793,17575
275,16256
489,15314
2856,23560
1229,18621
690,16685
1925,17237
1873,17741
2013,19622
1351,18379
3086,21250
2209,5979.55
1058,17516
118,17750
1024,16567
3157,22518
281,16468
1991,18284
2477,19494
968,16827
2319,19948
1338,18345
2618,20571
155,17591
304,16541
2332,21224
2704,22637
1543,17478
2365,20022
2378,19764
1552,17602
575,15865
2083,23128
2725,22771
2779,23463
1611,17468
2922,23620
843,16571
1429,18413
269,16259
629,15897
1033,16816
286,16632
2349,20271
300,16652
1536,17583
2377,19800
2605,20488
1491,17630
65,17229
2358,20189
890,16407
2299,19831
2067,22091
1961,17309
3110,21980
230,16497
503,15274
1373,18124
1537,17536
2580,19888
2525,19173
1004,16490
836,16551
1752,17077
374,16696
1421,17966
2244,19245
2022,19380
2042,21087
2452,19635
751,16138
99,17805
1952,17454
866,16484
910,16984
2470,20120
529,16079
1260,18318
1861,17675
636,15982
1269,18449
185,17123
1578,17801
1623,17613
931,16779
2988,23150
2437,19990
3105,22069
2823,24346
1273,18418
2923,23572
607,16101
2263,19489
151,17858
1601,17737
3017,20100
731,16566
3065,21522
1815,17376
2891,24614
23,17826
1885,17624
158,17648
861,16364
902,16662
1653,17023
1230,18647
2552,19956
444,16234
3108,21831
754,16143
923,16596
3144,22012
2236,19266
311,16705
548,15820
2123,5811.62
2019,19308
306,16548
287,16960
694,16622
308,16555
2462,19794
749,16141
2293,19812
3131,21908
2399,19685
1441,18173
908,16967
86,17770
2560,19940
1894,17584
2643,20918
970,16777
13,17414
873,16438
808,16966
3045,20947
514,15673
2880,24217
409,16216
1807,17468
1337,18345
2401,19785
3039,20590
1391,18043
3130,21962
1612,17470
382,16581
2907,24719
3152,22441
1392,18091
1509,17860
1877,18031
2077,22640
2320,19933
1393,18045
552,15690
222,16361
1764,17206
1096,18458
2752,22915
8,17299
1677,17278
316,16619
1328,18377
427,16126
1718,16502
105,17594
2162,5837.7
142,17692
121,17819
2514,18876
3033,20180
1189,19490
2099,20629
2754,22824
1554,17505
115,17666
2533,19320
1783,17302
2279,19640
2964,23467
3120,21988
1813,17359
2034,20745
672,16520
1626,17501
2999,22805
1721,16694
591,15596
2624,20825
888,16539
1987,18177
1553,17526
2588,19734
213,16720
778,16362
2287,19567
2648,21266
800,17122
2629,20714
1642,17089
1731,16956
2425,20126
2820,24338
1717,16601
2873,24100
1343,18427
273,16271
71,17170
2266,19399
1087,18119
394,16590
583,15412
1732,16981
2404,19788
2148,5797.43
500,15140
2161,5827.95
2766,23833
3153,22458
2903,24873
2284,19621
1259,18374
2759,23103
1972,17670
205,16907
733,16533
1957,17382
526,16205
1562,17744
898,16634
377,16704
3055,21416
2840,23709
1904,17371
386,16586
198,16985
1050,17326
590,15586
519,16112
2554,19841
2170,5728.9
429,16109
1083,17523
207,16798
491,15264
1517,17998
3081,21314
792,16796
2642,20959
1186,19629
1185,19661
2251,19171
2894,24792
2370,19965
1410,17948
1476,17836
83,17402
2512,18889
2364,20070
20,17656
1565,18165.1
1735,16916
2707,22698
1405,17796
2120,5859.86
3164,22683
2852,23627
2119,5864.34
973,16675
2956,23618
883,16653
1098,18425
156,17599
2418,19876
886,16603
3173,22591
1808,17513
1512,18053
2627,21015
2096,20565
2686,21859
2257,19597
1671,17021
1453,17842
1505,17764
2806,22759
458,16075
2095,20964
78,17616
3083,21360
1056,17225
906,16997
1778,17089
2764,23680
2855,23649
380,16694
947,16919
1940,17069
2225,5872.73
715,16476
2126,5830.23
686,16771
2718,22775
1293,18196
305,16547
209,16742
3048,20907
2359,20260
3149,21845
1749,17090
885,16590
2234,19196
917,16746
3119,21946
2876,24184
191,17048
1978,17660
2166,5833.27
1265,18103
483,15390
915,16836
2753,22800
277,16157
988,16255
1650,16982
1245,18482
1844,17695
571,15653
1435,18344
993,16248
1593,17754
2961,23819
585,15560
3111,21999
1788,17424
3167,22839
1349,18368
1007,16373
674,16447
1918,17105
855,16786
