,time,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
cs_base_day_current_month,0.0178074,-0.00190733,0.000927941,-0.00537162,-0.682018,-0.0104762,-0.0270974,0.00290196,0.00379811,-0.00191279,1,0.0176229,-0.00549544,-0.000601785,0.00602035,-0.00724888,-0.487276,0.0232156,-0.166153,-0.00169918,0.00497851,-0.00537935,-0.498446,-0.0290966,-0.170413,0.00190733,-0.00508303,0.00802439,0.579561,0.0335208,0.0929317,0.00169918,-0.00105535,0.00252739,0.657279,-0.0186854,0.0920828,0.0155934
cs_base_day_current_year,0.0581549,0.00051893,0.0160613,0.0482242,-0.0316369,-0.795901,-0.0328678,0.000374494,-0.00973178,0.0304819,0.0176229,1,-0.0281092,-0.00102744,0.0133666,0.0629586,-0.0260441,-0.585309,-0.0201762,-0.00110597,0.000351007,0.0486255,-0.0572759,-0.455757,0.0166629,-0.00051893,-0.00871004,-0.0929293,0.04403,0.62822,0.0296361,0.00110597,-0.00768686,-0.00216165,0.0218494,0.742455,-0.00897813,-0.104373
cs_base_day_current_month_minus,-0.0211046,0.00167699,-0.0104365,-0.00468221,0.0156902,-0.00273509,-0.699897,-0.00156881,-0.00863935,0.000616715,-0.00549544,-0.0281092,1,0.000354772,-0.00506176,-0.0062171,-0.170941,-0.0327527,-0.487659,0.000722907,0.0102634,-0.00550303,-0.182877,0.00612349,-0.484357,-0.00167699,0.0126892,0.00580648,0.0397544,-0.00039877,0.589659,-0.000722907,-0.0129464,0.00391279,0.125856,0.00907908,0.665323,0.0212487
cs_base_hour_minus_current_hour,-7.4278e-06,0.397302,-6.45298e-05,0.21754,-0.000186641,0.00138487,9.69514e-05,-0.400697,0.000354882,-0.180793,-0.000601785,-0.00102744,0.000354772,1,-0.00145813,0.0591118,-0.000131944,0.000383146,-0.000627953,0.799823,-0.000545202,-0.357562,5.91127e-05,0.000380619,0.000172356,-0.397302,-0.000250263,0.0760273,0.000421033,-0.00144394,-0.000814966,-0.799823,0.00113722,-0.125932,-0.000666461,-0.000342129,0.000981945,-0.000334028
cs_base_hour_minus_current_day,0.0025598,0.00128723,0.664117,-0.00495384,-0.00192813,-0.00601659,0.00172654,0.00108452,-0.486138,0.00492799,0.00602035,0.0133666,-0.00506176,-0.00145813,1,-0.00527665,-0.00454128,-0.00496638,-0.00891726,-0.00212185,0.579467,-0.0043686,-0.000204207,-0.00528026,-0.00495779,-0.00128723,-0.490161,0.000878165,-0.00156453,0.00384697,-0.000584718,0.00212185,-0.873283,0.00842189,0.00545983,0.0117295,0.00387224,-0.00468148
cs_base_hour_minus_current_hour_minus,-0.0461178,0.00766507,-0.00320567,0.897867,-0.00071512,-0.0862544,-0.000654425,-0.340014,0.00248095,-0.543285,-0.00724888,0.0629586,-0.0062171,0.0591118,-0.00527665,1,-8.78984e-05,-0.0321831,-0.00216822,0.263435,-0.00385899,0.775374,-0.00718709,-0.139737,0.00930045,-0.00766507,0.00332946,-0.804577,0.00796765,0.182767,-0.00603253,-0.263435,0.0041713,-0.874827,-0.00409005,0.034729,-0.00132379,0.00774876
cs_base_hour_minus_current_month,-0.000672026,-4.2403e-05,7.70044e-06,-0.000218409,0.649508,0.0148068,0.0953934,-0.000865184,-0.00648522,-0.00114052,-0.487276,-0.0260441,-0.170941,-0.000131944,-0.00454128,-8.78984e-05,1,-0.015472,-0.0453605,0.00050316,0.0015974,0.000358764,0.566046,0.060847,0.0476204,4.2403e-05,0.00180714,0.00132981,-0.467438,-0.0543711,-0.161429,-0.00050316,-0.000218041,-0.00126977,-0.874158,5.6709e-05,-0.02407,-0.0122646
cs_base_hour_minus_current_year,-0.267683,-0.000742017,-0.0092609,-0.0244142,0.0161125,0.662717,0.0105372,3.88021e-05,0.00469922,-0.0153715,0.0232156,-0.585309,-0.0327527,0.000383146,-0.00496638,-0.0321831,-0.015472,1,-0.00760931,0.000476274,-7.86255e-05,-0.0247761,0.0139991,0.56952,-0.0115301,0.000742017,0.00498631,0.0464548,-0.0560541,-0.557488,0.00346001,-0.000476274,0.00274765,0.00178569,0.0401737,-0.846026,-0.0211946,0.242937
cs_base_hour_minus_current_month_minus,0.00975491,-0.000477553,-0.0101271,-0.0014892,0.101544,0.00226019,0.680953,-0.000871198,0.0126809,-0.00548279,-0.166153,-0.0201762,-0.487659,-0.000627953,-0.00891726,-0.00216822,-0.0453605,-0.00760931,1,0.0003223,-0.00285905,-0.00113472,0.0693481,-0.0183058,0.584183,0.000477553,-0.00126779,0.00673353,-0.176513,0.0175205,-0.50892,-0.0003223,0.0140447,-0.00400903,-0.0168287,-0.00711302,-0.875395,0.0873552
cs_base_month_current_hour,-0.000366182,0.19663,-0.000817481,0.428258,-0.000394765,0.00134037,0.000836424,-0.800351,0.00182783,-0.323065,-0.00169918,-0.00110597,0.000722907,0.799823,-0.00212185,0.263435,0.00050316,0.000476274,0.0003223,1,0.00037594,0.0454591,0.000754448,0.00138612,0.000206693,-0.19663,-0.000256177,-0.320307,0.00157846,-0.00148307,-0.00137734,-1,0.00108953,-0.269095,-0.00257821,-0.000486863,0.000564929,-0.000760205
cs_base_month_current_day,-0.00834774,0.000418093,0.319979,-0.00269718,-0.00407018,0.00377439,-0.00828562,-0.00131687,-0.486069,0.001676,0.00497851,0.000351007,0.0102634,-0.000545202,0.579467,-0.00385899,0.0015974,-7.86255e-05,-0.00285905,0.00037594,1,-0.00294603,-0.00251291,-0.00181346,0.00463184,-0.000418093,-0.490692,9.8919e-05,0.00689351,-0.00295627,0.00206945,-0.00037594,-0.692383,0.00533144,-0.00174812,0.00452072,0.00415032,0.00330316
cs_base_month_current_hour_minus,-0.0354278,-0.483365,-0.00273481,0.621414,-0.000367979,-0.0667961,9.56664e-05,-0.183266,0.00269548,-0.430345,-0.00537935,0.0486255,-0.00550303,-0.357562,-0.0043686,0.775374,0.000358764,-0.0247761,-0.00113472,0.0454591,-0.00294603,1,-0.00525806,-0.107329,0.00766861,0.483365,0.00263907,-0.731348,0.00588584,0.141093,-0.00506156,-0.0454591,0.00332451,-0.73386,-0.00340581,0.0265423,-0.0017884,0.00553861
cs_base_month_current_month,-0.00969855,0.000537057,0.00393197,-0.00585569,0.299608,0.0444583,0.249147,-0.0013412,-0.0045719,-0.00256356,-0.498446,-0.0572759,-0.182877,5.91127e-05,-0.000204207,-0.00718709,0.566046,0.0139991,0.0693481,0.000754448,-0.00251291,-0.00525806,1,0.01484,-0.0140342,-0.000537057,-0.00452431,0.0106447,-0.469066,-0.0496785,-0.191219,-0.000754448,0.000451639,0.000476532,-0.689703,-0.0134647,-0.00583922,0.0100649
cs_base_month_current_year,0.299693,-0.000393158,-0.0142827,-0.107823,0.0142022,0.276135,0.010676,-0.0015029,0.00631007,-0.0671402,-0.0290966,-0.455757,0.00612349,0.000380619,-0.00528026,-0.139737,0.060847,0.56952,-0.0183058,0.00138612,-0.00181346,-0.107329,0.01484,1,0.00980133,0.000393158,0.0127091,0.207334,0.0257621,-0.471106,-0.0477182,-0.00138612,-0.00122447,0.00436836,-0.0704731,-0.743051,0.0289633,-0.293718
cs_base_month_current_month_minus,0.00808205,-0.00135617,-0.000537868,0.00742024,0.208155,-0.0021839,0.336004,0.000539917,-0.00863312,-0.00237048,-0.170413,0.0166629,-0.484357,0.000172356,-0.00495779,0.00930045,0.0476204,-0.0115301,0.584183,0.000206693,0.00463184,0.00766861,-0.0140342,0.00980133,1,0.00135617,-0.00133749,-0.00816176,-0.152586,-0.0122587,-0.506158,-0.000206693,0.000845756,-0.00654865,0.00490403,0.00724499,-0.691314,-0.0260772
cs_base_year_current_hour,-0.000202638,-1,-0.000316979,0.100582,0.000357569,0.000423647,0.00054719,0.398509,0.000730868,-0.464988,0.00190733,-0.00051893,-0.00167699,-0.397302,-0.00128723,-0.00766507,4.2403e-05,0.000742017,0.000477553,-0.19663,-0.000418093,0.483365,-0.000537057,0.000393158,0.00135617,1,-0.00012287,-0.19247,-0.00121121,-0.000548992,-0.000516835,0.19663,0.00105109,-0.254523,0.00137396,-0.000917935,-0.00146005,0.00051584
cs_base_year_current_day,-0.00143259,0.00012287,-0.873014,0.00239119,-0.00056002,0.00488841,-0.0138499,7.31588e-05,0.579522,-0.00381408,-0.00508303,-0.00871004,0.0126892,-0.000250263,-0.490161,0.00332946,0.00180714,0.00498631,-0.00126779,-0.000256177,-0.490692,0.00263907,-0.00452431,0.0127091,-0.00133749,-0.00012287,1,0.00256715,0.00561383,-0.00705796,0.0100201,0.000256177,0.325135,-0.00738073,-0.00299412,-0.0106548,0.00149485,-0.00293625
cs_base_year_current_hour_minus,0.0682476,0.19247,-0.00295144,-0.855801,0.00436372,0.129437,0.00425198,0.460091,0.00333859,0.575962,0.00802439,-0.0929293,0.00580648,0.0760273,0.000878165,-0.804577,0.00132981,0.0464548,0.00673353,-0.320307,9.8919e-05,-0.731348,0.0106447,0.207334,-0.00816176,-0.19247,0.00256715,1,-0.0148967,-0.274505,0.00325302,0.320307,0.000310449,0.597331,0.0056416,-0.0493633,-0.000842751,-0.0104274
cs_base_year_current_month,-0.0165403,0.00121121,-0.00700709,0.00649342,-0.874437,-0.0624953,-0.0516451,-0.00255319,0.00386559,0.0057633,0.579561,0.04403,0.0397544,0.000421033,-0.00156453,0.00796765,-0.467438,-0.0560541,-0.176513,0.00157846,0.00689351,0.00588584,-0.469066,0.0257621,-0.152586,-0.00121121,0.00561383,-0.0148967,1,0.0326361,-0.0182769,-0.00157846,-0.0034195,0.00250683,0.297719,0.021788,0.220787,-0.0430307
cs_base_year_current_year,-0.113297,0.000548992,0.0112114,0.140844,-0.0446054,-0.871163,-0.00444608,0.000509571,-0.00627718,0.090951,0.0335208,0.62822,-0.00039877,-0.00144394,0.00384697,0.182767,-0.0543711,-0.557488,0.0175205,-0.00148307,-0.00295627,0.141093,-0.0496785,-0.471106,-0.0122587,-0.000548992,-0.00705796,-0.274505,0.0326361,1,0.0305616,0.00148307,-0.000692599,-0.00263851,0.055013,0.422967,-0.0130404,0.00926312
cs_base_year_current_month_minus,0.00585456,0.000516835,-0.00772777,-0.00480858,-0.0343938,-0.00744951,-0.874497,0.000994575,-0.00711766,0.00355991,0.0929317,0.0296361,0.589659,-0.000814966,-0.000584718,-0.00603253,-0.161429,0.00346001,-0.50892,-0.00137734,0.00206945,-0.00506156,-0.191219,-0.0477182,-0.506158,-0.000516835,0.0100201,0.00325302,-0.0182769,0.0305616,1,0.00137734,-0.00819147,0.0063256,0.236893,0.0142421,0.347238,0.0190945
cs_base_month_minus_current_hour,0.000366182,-0.19663,0.000817481,-0.428258,0.000394765,-0.00134037,-0.000836424,0.800351,-0.00182783,0.323065,0.00169918,0.00110597,-0.000722907,-0.799823,0.00212185,-0.263435,-0.00050316,-0.000476274,-0.0003223,-1,-0.00037594,-0.0454591,-0.000754448,-0.00138612,-0.000206693,0.19663,0.000256177,0.320307,-0.00157846,0.00148307,0.00137734,1,-0.00108953,0.269095,0.00257821,0.000486863,-0.000564929,0.000760205
cs_base_month_minus_current_day,-0.00272123,-0.00105109,-0.491104,0.00374108,0.00144278,0.00317934,0.0159326,2.57495e-05,0.664459,-0.00410506,-0.00105535,-0.00768686,-0.0129464,0.00113722,-0.873283,0.0041713,-0.000218041,0.00274765,0.0140447,0.00108953,-0.692383,0.00332451,0.000451639,-0.00122447,0.000845756,0.00105109,0.325135,0.000310449,-0.0034195,-0.000692599,-0.00819147,-0.00108953,1,-0.00734349,0.00156921,-0.00607768,-0.00998679,0.00712592
cs_base_month_minus_current_hour_minus,0.00249221,0.254523,0.00838181,-0.856696,-0.0031667,0.00102267,-0.00363642,0.150759,-0.008038,0.756904,0.00252739,-0.00216165,0.00391279,-0.125932,0.00842189,-0.874827,-0.00126977,0.00178569,-0.00400903,-0.269095,0.00533144,-0.73386,0.000476532,0.00436836,-0.00654865,-0.254523,-0.00738073,0.597331,0.00250683,-0.00263851,0.0063256,0.269095,-0.00734349,1,0.000740815,-0.00277651,0.00354638,-0.00193153
cs_base_month_minus_current_month,0.0192093,-0.00137396,0.000571769,-0.00316888,-0.463689,-0.00166925,-0.17341,0.00388933,0.00673716,-0.00145986,0.657279,0.0218494,0.125856,-0.000666461,0.00545983,-0.00409005,-0.874158,0.0401737,-0.0168287,-0.00257821,-0.00174812,-0.00340581,-0.689703,-0.0704731,0.00490403,0.00137396,-0.00299412,0.0056416,0.297719,0.055013,0.236893,0.00257821,0.00156921,0.000740815,1,-0.0140714,-0.037215,0.0269769
cs_base_month_minus_current_year,0.0679652,0.000917935,0.0153577,0.0265105,-0.00198198,-0.503787,-0.0163778,-6.99439e-05,-0.00825982,0.0154445,-0.0186854,0.742455,0.00907908,-0.000342129,0.0117295,0.034729,5.6709e-05,-0.846026,-0.00711302,-0.000486863,0.00452072,0.0265423,-0.0134647,-0.743051,0.00724499,-0.000917935,-0.0106548,-0.0493633,0.021788,0.422967,0.0142421,0.000486863,-0.00607768,-0.00277651,-0.0140714,1,0.0118787,-0.0524239
cs_base_month_minus_current_month_minus,-0.0238135,0.00146005,0.00505201,-0.00118678,-0.158507,-0.00989357,-0.51518,-0.000597677,-0.00551992,0.00329043,0.0920828,-0.00897813,0.665323,0.000981945,0.00387224,-0.00132379,-0.02407,-0.0211946,-0.875395,0.000564929,0.00415032,-0.0017884,-0.00583922,0.0289633,-0.691314,-0.00146005,0.00149485,-0.000842751,0.220787,-0.0130404,0.347238,-0.000564929,-0.00998679,0.00354638,-0.037215,0.0118787,1,-0.0617595
target,-0.792767,-0.00051584,-0.00449172,0.00666719,0.0106032,0.209333,0.0378977,0.00106495,0.00831619,0.00064976,0.0155934,-0.104373,0.0212487,-0.000334028,-0.00468148,0.00774876,-0.0122646,0.242937,0.0873552,-0.000760205,0.00330316,0.00553861,0.0100649,-0.293718,-0.0260772,0.00051584,-0.00293625,-0.0104274,-0.0430307,0.00926312,0.0190945,0.000760205,0.00712592,-0.00193153,0.0269769,-0.0524239,-0.0617595,1
