,target
937,27669
415,27450
3955,21943
4974,15600
3862,19499
3708,16379
3166,21706
757,26354
2153,29015
1965,27690
1041,27218
4387,19176
3126,19770
4020,21239
5478,17254
596,25377
4844,16394
4568,18384
2303,27888
1068,27377
1647,24603
5816,19286
3207,21428
4529,18371
3405,21990
652,25502
4982,15724
1700,23220
4753,17261
4945,15077
5527,17228
3303,20631
5769,20114
2633,26223
5130,16570
2531,26507
75,27386
4315,18313
3799,17838
3095,22299
5198,17342
4362,20127
2893,23600
4781,17957
3656,17701
4397,18837
108,28400
1010,28799
1029,28029
2732,25688
828,27684
6047,20856
2045,29261
96,27951
3263,20824
4726,17130
3605,18856
1385,24154
1200,22728
621,25973
5609,17408
1412,24366
566,26859
543,28621
1837,26407
1334,23841
2446,28086
2668,23994
51,27263
6168,23066
4357,19772
2653,25050
3715,16879
1558,25071
745,25953
4938,15371
5567,17479
1467,25391
2357,29034
195,29131
1888,26696
4553,17974
3988,21890
802,26914
1618,25432
5842,20124
4294,19436
620,26004
2683,24583
4889,16844
3825,17604
5159,16827
2002,28836
4734,17600
644,25768
5451,17431
4680,17811
4236,19522
1061,26698
4272,20011
4194,20784
120,28334
1777,24760
3080,22891
2598,25416
4244,20033
4955,15673
4401,19218
1230,23050
2917,22994
1859,26927
3659,17829
5735,20559
3414,21910
3491,20599
134,28557
4617,17912
5078,16616
4237,19562
2571,25826
4314,18200
1721,23754
2351,29046
511,28550
6156,23181
62,26985
2716,25339
1553,24630
3978,22580
5364,17905
4161,20535
2767,25024
4782,17996
3258,20731
5196,17326
679,27042
3889,19407
1211,23511
122,28299
2795,24497
1593,25294
4200,20570
3668,17252
3352,21849
1210,23570
567,26818
1873,26440
2666,24064
548,28385
1717,23426
864,26940
4665,17767
1392,24291
4624,17880
3455,20288
5295,18449
4963,16001
5431,18165.1
2034,28556
720,25980
4048,20708
3043,24799
690,27050
4712,17042
1773,24814
602,25380
6075,21910
5671,20565
4970,15803
2346,29113
6042,20692
4483,19657
503,28439
5214,18165
318,29716
3755,15456
5200,17586
274,30106
5300,18418
3010,24316
1361,23329
5987,24193
1526,24792
4085,20692
2298,28389
4351,19511
2431,29004
3317,19981
4088,20884
5072,16434
5972,24379
3751,14637
945,27793
5560,17778
5944,24220
295,29828
3809,17662
2312,27522
298,29771
68,27500
4511,19069
736,25920
1598,25135
5402,17749
4950,15347
3846,18770
1503,25032
2195,28572
150,28785
756,26329
4093,20098
5430,17832.3
1703,23361
5622,18059
2228,28915
4310,18498
169,28922
3979,22676
376,27306
5394,17720
2519,25944
859,26619
5044,16765
5583,17492
1945,26447
2377,28568
5077,16592
378,27179
2874,24013
4794,17678
1294,24545
366,27622
2118,29471
1432,24350
2858,23592
4306,18522
5133,16939
1779,24667
2818,25630
3411,21803
4709,16947
1818,26361
4641,17424
841,26875
3077,23170
1189,22400
175,28282
2173,28458
2842,24746
927,26509
4814,16985
45,26739
1260,23948
1096,27842
1443,24776
5019,16134
5025,16614
3098,22356
1187,21753
5238,18955
4270,19959
1030,27901
5322,18405
300,29516
2670,24175
1472,26331
283,30101
3483,20939
2640,26111
4888,17131
1813,26054
1271,23826
2465,27516
3100,22370
2759,25516
2008,29720
5448,17801
3361,21163
5620,18013
3096,22312
99,28051
3123,20547
744,26012
5709,19812
4078,20456
5994,23772
5995,23968
4342,19361
1157,25076
1437,24566
3109,20899
402,26645
949,27842
2067,29858
4302,18694
668,26658
218,28596
1962,27488
2288,28301
4791,17847
3089,22648
3805,18003
4113,19540
4040,20870
777,26708
5613,17396
2951,22780
3379,20968
1491,25881
2317,28027
2177,27987
5097,16785
5664,23080
3038,24714
517,28475
3573,20105
3346,21504
4213,19800
3893,19055
2809,25320
568,26144
360,27622
2458,27100
759,26599
2876,23974
3980,22637
5114,16515
214,28901
2908,22880
4901,16718
2135,28505
3544,19813
725,25968
2646,25785
49,27077
4825,16476
887,26940
4240,19865
516,28622
3618,19367
139,28952
3607,19000
6073,21797
2644,25641
463,28228
3492,20604
3269,19342
594,25227
450,28422
2847,23841
2669,24070
312,29467
2339,28852
4152,20170
451,28403
5579,17611
890,26954
3017,23539
5498,16742
4595,18027
5774,20104
999,28621
5638,19201
1476,25970
5553,17611
5304,18347
5202,17617
4879,16644
3820,17618
5169,16255
5396,17658
1293,24574
5436,18068
5569,17695
1907,26514
3966,21710
5522,17163
368,27608
1937,26029
1151,26053
5518,17077
2835,24610
6074,21831
191,28807
5302,18418
174,28323
5705,19621
4505,19186
5743,19889
2227,28840
5367,18260
6006,23659
3614,19374
6069,22078
1164,25129
2846,24028
2245,28607
4591,18133
1661,24424
508,28539
166,28990
2447,27885
4842,16370
3954,21782
5309,18345
103,28116
2602,25260
3375,20835
2868,23478
1752,24308
5507,16956
2864,23604
1658,24417
152,28666
4701,17069
1583,25176
2572,25859
3686,17775
4996,16090
5621,18081
3254,21041
3328,20992
1822,26256
4756,17229
3639,18753
309,29529
3666,17142
2574,25757
3250,20614
495,28167
205,29433
1434,24385
1135,26232
868,26904
305,29617
1849,26430
2370,28889
1988,28293
3105,21086
1534,24721
843,26857
1987,28289
3409,22033
5834,19917
2684,24550
3382,21022
1538,24749
211,29132
1957,27235
4374,19250
2462,27247
2862,23740
1349,24340
2268,29026
