,target
2463,153.409
1561,175.626
2468,123.026
1513,152.42
1133,146.066
2449,186.341
1584,110.714
841,146.749
2007,173.258
2388,182.526
978,138.508
18,164.411
647,142.366
1477,191.216
1216,142.982
2170,191.443
620,161.317
2386,181.852
840,136.848
1766,133.097
2043,166.588
1232,108.785
219,133.097
678,109.275
1163,126.148
303,186.134
2301,141.793
1828,170.063
2353,138.058
1868,114.264
940,154.436
1487,110.143
1102,186.553
1875,111.052
1084,111.087
1451,100.989
1036,135.664
1355,184.197
1083,170.037
192,126.87
174,121.545
845,135.331
554,142.972
2328,132.141
1869,181.872
741,189.525
128,131.808
340,172.188
2060,153.857
2180,122.184
1387,135.434
307,163.225
383,179.001
1251,173.681
2291,141.841
1646,128.359
177,106.682
426,147.922
1078,151.259
2151,162.015
1404,140.692
839,170.699
184,124.485
2045,150.491
1952,124.484
1609,128.954
581,147.962
2342,120.338
1989,111.7
2039,118.222
489,191.381
1029,106.024
1255,189.518
2233,108.297
1557,146.913
1834,157.795
1455,195.605
1987,159.316
118,191.048
1525,147.704
281,124.588
2164,178.54
2247,128.207
1814,119.808
2249,163.412
2089,95.9345
366,177.749
1885,165.315
555,148.488
1090,160.001
1461,180.664
1261,169.84
203,119.839
1657,123.469
120,142.472
283,117.687
575,155.672
1279,174.484
2319,138.456
275,163.362
931,107.725
1244,103.53
360,111.215
1506,138.488
1518,188.461
2059,171.056
767,168.237
286,168.342
821,139.369
1779,183.059
856,177.803
423,112.321
1776,186.994
1591,113.984
1559,185.406
810,170.511
65,157.307
1616,143.563
1462,185.71
2158,153.442
1539,169.303
230,115.573
1547,165.813
1391,128.405
857,162.275
1623,109.368
1913,152.505
2218,153.268
1056,164.29
374,181.722
1842,167.837
2174,159.05
1220,104.39
297,141.354
598,171.123
1448,150.022
99,186.951
973,147.642
1886,147.469
1689,128.944
529,127.189
1967,123.153
1190,182.286
636,127.12
2175,167.816
185,154.555
1957,147.798
911,148.443
2087,165.249
1898,156.24
1844,165.744
511,172.596
1137,152.469
1117,126.586
1772,180.362
1381,152.418
607,124.971
808,155.16
151,202.864
1622,122.782
1110,184.083
2013,104.101
1418,130.012
2425,201.227
23,155.92
158,156.953
998,159.683
1053,137.552
2364,168.706
2050,156.061
1944,175.598
2426,156.224
642,186.938
1225,105.38
311,132.535
351,156.749
548,120.144
1330,143.537
2055,122.653
306,120.121
287,100.798
1207,184.625
630,115.944
916,146.375
1366,193.422
952,172.449
1087,187.782
1562,119.641
2079,193.399
993,134.839
807,106.701
1422,107.582
1135,154.792
13,138.306
1383,148.08
514,117.178
409,135.235
888,186.301
313,177.963
1835,133.696
1651,126.798
2020,161.053
829,190.464
1563,138.546
382,173.121
988,181.194
2147,105.699
705,174.743
1189,163.445
1752,105.616
1027,156.241
263,158.333
2138,133.037
1242,110.294
415,164.751
902,108.675
358,185.705
1385,148.517
8,159.393
1005,186.958
316,110.619
304,147.612
427,186.102
105,148.88
1465,170.578
121,174.303
809,113.286
1524,130.002
756,178.978
1298,161.39
1744,174.255
1916,151.682
115,171.629
979,189.546
1530,156.993
2310,96.3782
2406,105.511
1228,141.393
672,105.512
2283,197.946
949,146.556
1611,200.938
309,133.708
591,137.658
2414,109.472
1446,145.505
1839,121.081
1975,140.346
1490,156.372
552,160.628
87,188.96
690,184.12
1929,186.979
2389,176.532
2019,172.689
1662,110.562
2037,153.917
1362,152.424
1043,142.762
543,136.243
1729,148.385
2195,167.031
494,182.051
365,108.587
2236,181.726
2390,170.557
273,164.913
71,156.264
1222,169.333
1778,130.942
63,192.516
2141,159.96
801,118.534
343,177.195
1351,115.199
1357,131.942
500,157.063
1642,156.824
677,143.001
2213,153.466
1851,188.119
1501,185.598
272,119.805
1017,108.94
205,194.664
733,133.671
152,109.042
812,175.859
557,128.223
377,109.155
535,162.017
1231,191.733
965,122.256
1050,133.348
198,164.2
561,135.013
685,157.239
1195,121.302
590,165.545
519,113.261
308,101.501
604,186.967
2133,180.695
1976,141.34
59,173.208
583,194.733
1924,181.461
207,116.757
1980,117.586
838,142.013
785,179.424
873,133.096
2404,165.435
792,121.036
162,138.251
1285,152.032
526,145.068
1628,182.093
256,186.382
506,168.816
1920,167.972
2099,156.351
2206,180.632
2143,121.355
831,184.155
1645,106.516
20,198.397
1380,157.215
439,132.945
1070,110.503
381,125.05
1945,149.345
538,110.018
1498,121.24
2366,162.671
83,178.446
1605,108.937
1429,133.263
1290,144.324
1208,181.605
1444,200.422
1718,171.268
270,107.218
1091,196.541
1125,139.553
2035,171.599
2241,128.972
2053,126.13
862,104.801
999,193.48
429,112.414
1159,133.182
2172,131.129
2183,150.137
458,108.437
78,132.508
1194,161.79
32,188.722
1075,189.994
932,123.253
2221,106.778
380,104.735
226,116.514
1509,164.212
2004,133.661
715,129.223
1308,113.979
686,146.654
2110,128.745
1488,191.277
305,103.384
209,162.816
1018,103.698
1640,186.67
2454,204.008
1054,108.239
1728,108.866
1979,114.281
1953,132.992
191,154.361
1193,142.119
1058,117.35
2460,115.298
483,174.456
2360,166.996
1435,168.401
277,142.109
2052,163.692
221,182.024
2159,171.522
571,150.043
411,135.216
2075,111.16
1505,126.571
1187,135.503
585,138.881
