,encoder_name,encoder_classes_count
0,stock_code_x,1
1,ric_code_x,1
2,uuid_x,13486
3,last_modified_date_x,1
4,current_hour_pillar,50
5,current_day_pillar,60
6,current_day_pillar_minus,60
7,current_hour_pillar_minus,59
8,current_month_pillar,60
9,current_year_pillar,16
10,current_year_pillar_minus,16
11,current_month_pillar_minus,59
12,current_wuxi_hour,52
13,current_wuxi_day,120
14,current_wuxi_month,120
15,current_wuxi_year,40
16,base_year_pillar,2
17,base_month_pillar,2
18,base_day_pillar,2
19,base_hour_pillar,2
20,base_month_pillar_minus,2
21,base_hour_pillar_minus,2
22,base_year_pillar_minus,2
23,base_day_pillar_minus,2
24,current_hour_pillar_heavenly,10
25,current_hour_pillar_earthly,10
26,current_day_pillar_heavenly,10
27,current_day_pillar_earthly,12
28,current_day_pillar_minus_heavenly,10
29,current_day_pillar_minus_earthly,12
30,current_hour_pillar_minus_heavenly,10
31,current_hour_pillar_minus_earthly,12
32,current_month_pillar_heavenly,10
33,current_month_pillar_earthly,12
34,current_year_pillar_heavenly,10
35,current_year_pillar_earthly,11
36,current_year_pillar_minus_heavenly,10
37,current_year_pillar_minus_earthly,11
38,current_month_pillar_minus_heavenly,10
39,current_month_pillar_minus_earthly,12
40,base_year_pillar_heavenly,2
41,base_year_pillar_earthly,2
42,base_month_pillar_heavenly,2
43,base_month_pillar_earthly,1
44,base_day_pillar_heavenly,2
45,base_day_pillar_earthly,2
46,base_hour_pillar_heavenly,2
47,base_hour_pillar_earthly,2
48,base_month_pillar_minus_heavenly,2
49,base_month_pillar_minus_earthly,1
50,base_hour_pillar_minus_heavenly,2
51,base_hour_pillar_minus_earthly,2
52,base_year_pillar_minus_heavenly,2
53,base_year_pillar_minus_earthly,2
54,base_day_pillar_minus_heavenly,2
55,base_day_pillar_minus_earthly,2
56,cs_base_hour_current_hour,12
57,cs_base_hour_current_day,12
58,cs_base_hour_current_hour_minus,12
59,cs_base_hour_current_month,12
60,cs_base_hour_current_year,11
61,cs_base_hour_current_month_minus,12
62,cs_base_day_current_hour,10
63,cs_base_day_current_day,12
64,cs_base_day_current_hour_minus,12
65,cs_base_day_current_month,12
66,cs_base_day_current_year,11
67,cs_base_day_current_month_minus,12
68,cs_base_hour_minus_current_hour,10
69,cs_base_hour_minus_current_day,12
70,cs_base_hour_minus_current_hour_minus,12
71,cs_base_hour_minus_current_month,12
72,cs_base_hour_minus_current_year,11
73,cs_base_hour_minus_current_month_minus,12
74,cs_base_month_current_hour,12
75,cs_base_month_current_day,12
76,cs_base_month_current_hour_minus,12
77,cs_base_month_current_month,12
78,cs_base_month_current_year,11
79,cs_base_month_current_month_minus,12
80,cs_base_year_current_hour,12
81,cs_base_year_current_day,12
82,cs_base_year_current_hour_minus,12
83,cs_base_year_current_month,12
84,cs_base_year_current_year,11
85,cs_base_year_current_month_minus,12
86,cs_base_month_minus_current_hour,10
87,cs_base_month_minus_current_day,12
88,cs_base_month_minus_current_hour_minus,12
89,cs_base_month_minus_current_month,12
90,cs_base_month_minus_current_year,11
91,cs_base_month_minus_current_month_minus,12
92,stock_code_y,1
93,ric_code_y,1
94,uuid_y,13486
95,last_modified_date_y,1
96,uuid,568
97,last_modified_date,1
